schema_version,protocol_hash,status,study,domain,truth,candidate,seed,n_observations,dimension,objective,deviance,gradient_norm,best_start,second_best_objective_gap,wall_seconds,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,20,25,9,-53.257895893507076,-144.25548440722406,0.00016082616847240463,3,0.16216721319716498,115.26260940000066,9,-126.25548440722406,-114.25548440722406,-115.28560198341026,-131.4346164645584,-125.33283730086279,-119.2310581371672,-107.02749980977599,-136.28943126307047,-82.10867513223175,3.983026572076799,24.4071166547824,37.73969262020991
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,21,25,9,-62.31466647599315,-162.46405866200303,0.0003310027361270033,4,0.2758422266057323,118.81621649999579,9,-144.46405866200303,-132.46405866200303,-133.49417623818923,-149.67273370026763,-143.58336279241368,-137.49399188455973,-125.31525006885184,-154.51636160397243,-100.27184932057051,3.973848529015295,24.357483631415782,37.83472571001672
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,22,25,9,-63.97236443796367,-163.53534239206112,0.0002693347226307308,2,0.16041598091763376,120.13656579999952,9,-145.53534239206112,-133.53534239206112,-134.56545996824732,-150.87066997620929,-144.77108078676216,-138.67149159731503,-126.4723132184208,-155.66633898533888,-103.54637211813883,3.9345017033611165,24.3983567577885,35.590613516133786
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,23,25,9,-61.817038972583376,-159.97179085503615,0.0001451983095825079,3,0.13424569276969578,117.10701740000513,9,-141.97179085503615,-129.97179085503615,-131.00190843122235,-147.20232144641227,-141.14768885962138,-135.0930562728305,-122.98379109924875,-152.03767341566785,-99.41554759800323,3.9670587196841445,24.21853034716353,36.33771290986939
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,24,25,9,-60.9557080410781,-157.37037977644718,0.0001022874283491597,2,0.07452077470957619,120.37138949999644,9,-139.37037977644718,-127.37037977644718,-128.40049735263338,-144.92600628488074,-138.80280813431662,-132.6796099837525,-120.43321368262426,-149.6382557874294,-97.41862347989971,3.8660619945088968,24.492792602256493,35.45896369429099
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,25,25,9,-58.76207602780896,-153.07502609734902,3.914889333362581e-05,3,0.08479860360117186,117.18987940000079,9,-135.07502609734902,-123.07502609734902,-124.10514367353522,-140.85024254559895,-134.7973781985494,-128.74451385149985,-116.63878515740075,-145.47934100921697,-93.31269466741972,3.797842544066028,24.211457388198195,35.55087404173111
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,26,25,9,-62.32597938428163,-159.04925399174093,0.00014538451328986924,0,0.11274446072206246,115.31105679999746,9,-141.04925399174093,-129.04925399174093,-130.07937156792713,-146.64526378542297,-140.5948924029627,-134.5445210205024,-122.44377825558186,-151.34222154862027,-100.45047323872214,3.8535162215603194,24.201485529841115,34.397295223177665
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,27,25,9,-59.82071642279977,-157.53240700915623,3.904471509754829e-05,0,0.23406079344582054,111.31492029999936,9,-139.53240700915623,-127.53240700915623,-128.56252458534243,-144.56260276527627,-138.49159103379054,-132.42057930230484,-120.27855583933342,-149.4738145380341,-95.35738591965669,4.029296235561063,24.28404692594285,37.89097416355669
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,28,25,9,-55.14969303933553,-147.66820354194928,0.00010143404707904402,2,0.3350783242083395,106.32791890000226,9,-129.66820354194928,-117.66820354194928,-118.69832111813548,-134.32014915851607,-128.2156579281561,-122.11116669779614,-109.90218423707621,-139.37459104512067,-85.8814211572312,4.1468062484143084,24.41796492143986,37.36881746327822
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,29,25,9,-61.73333361848719,-159.61147759455258,0.00022998842572584808,4,0.09403402194818256,118.3709461000035,9,-141.61147759455258,-129.61147759455258,-130.64159517073878,-146.51142355687486,-140.40980118201128,-134.3081788071477,-122.10493405742052,-151.47195637632473,-99.06017773752004,4.069760609113934,24.406489499454338,36.14481035757821
