scenario,seed,criterion,truth,selected,correct
early_seir_infected_only,35,gic_vol_025,seir,seir,1
early_seir_infected_only,35,gic_vol_050,seir,seir,1
early_seir_infected_only,35,gic_vol_100,seir,seir,1
early_seir_infected_only,35,ogic_e,seir,seir,1
early_seir_infected_only,36,aic,seir,seir,1
early_seir_infected_only,36,aicc,seir,seir,1
early_seir_infected_only,36,bic,seir,seir,1
early_seir_infected_only,36,gic_eff,seir,seir,1
early_seir_infected_only,36,gic_vol_025,seir,seir,1
early_seir_infected_only,36,gic_vol_050,seir,seir,1
early_seir_infected_only,36,gic_vol_100,seir,seir,1
early_seir_infected_only,36,ogic_e,seir,seir,1
early_seir_infected_only,37,aic,seir,sir,0
early_seir_infected_only,37,aicc,seir,sir,0
early_seir_infected_only,37,bic,seir,sir,0
early_seir_infected_only,37,gic_eff,seir,seir,1
early_seir_infected_only,37,gic_vol_025,seir,seir,1
early_seir_infected_only,37,gic_vol_050,seir,seir,1
early_seir_infected_only,37,gic_vol_100,seir,seir,1
early_seir_infected_only,37,ogic_e,seir,seir,1
early_seir_infected_only,38,aic,seir,sir,0
early_seir_infected_only,38,aicc,seir,sir,0
early_seir_infected_only,38,bic,seir,sir,0
early_seir_infected_only,38,gic_eff,seir,seir,1
early_seir_infected_only,38,gic_vol_025,seir,seir,1
early_seir_infected_only,38,gic_vol_050,seir,seir,1
early_seir_infected_only,38,gic_vol_100,seir,seir,1
early_seir_infected_only,38,ogic_e,seir,seir,1
early_seir_infected_only,39,aic,seir,sir,0
early_seir_infected_only,39,aicc,seir,sir,0
early_seir_infected_only,39,bic,seir,sir,0
early_seir_infected_only,39,gic_eff,seir,sir,0
early_seir_infected_only,39,gic_vol_025,seir,sir,0
early_seir_infected_only,39,gic_vol_050,seir,sir,0
early_seir_infected_only,39,gic_vol_100,seir,seir,1
early_seir_infected_only,39,ogic_e,seir,seir,1
early_seir_infected_only,40,aic,seir,sir,0
early_seir_infected_only,40,aicc,seir,sir,0
early_seir_infected_only,40,bic,seir,sir,0
early_seir_infected_only,40,gic_eff,seir,sir,0
early_seir_infected_only,40,gic_vol_025,seir,sir,0
early_seir_infected_only,40,gic_vol_050,seir,sir,0
early_seir_infected_only,40,gic_vol_100,seir,seir,1
early_seir_infected_only,40,ogic_e,seir,seir,1
early_seir_infected_only,41,aic,seir,sir,0
early_seir_infected_only,41,aicc,seir,sir,0
early_seir_infected_only,41,bic,seir,sir,0
early_seir_infected_only,41,gic_eff,seir,sir,0
early_seir_infected_only,41,gic_vol_025,seir,sir,0
early_seir_infected_only,41,gic_vol_050,seir,sir,0
early_seir_infected_only,41,gic_vol_100,seir,sir,0
early_seir_infected_only,41,ogic_e,seir,sir,0
early_seir_infected_only,42,aic,seir,sir,0
early_seir_infected_only,42,aicc,seir,sir,0
early_seir_infected_only,42,bic,seir,sir,0
early_seir_infected_only,42,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,42,gic_vol_025,seir,sir,0
early_seir_infected_only,42,gic_vol_050,seir,sir,0
early_seir_infected_only,42,gic_vol_100,seir,sir,0
early_seir_infected_only,42,ogic_e,seir,seir,1
early_seir_infected_only,43,aic,seir,sir,0
early_seir_infected_only,43,aicc,seir,sir,0
early_seir_infected_only,43,bic,seir,sir,0
early_seir_infected_only,43,gic_eff,seir,seir,1
early_seir_infected_only,43,gic_vol_025,seir,seir,1
early_seir_infected_only,43,gic_vol_050,seir,seir,1
early_seir_infected_only,43,gic_vol_100,seir,seir,1
early_seir_infected_only,43,ogic_e,seir,seir,1
early_seir_infected_only,44,aic,seir,tv_sir,0
early_seir_infected_only,44,aicc,seir,tv_sir,0
early_seir_infected_only,44,bic,seir,tv_sir,0
early_seir_infected_only,44,gic_eff,seir,tv_sir,0
early_seir_infected_only,44,gic_vol_025,seir,tv_sir,0
early_seir_infected_only,44,gic_vol_050,seir,seir,1
early_seir_infected_only,44,gic_vol_100,seir,seir,1
early_seir_infected_only,44,ogic_e,seir,seir,1
early_seir_infected_only,45,aic,seir,sir,0
early_seir_infected_only,45,aicc,seir,sir,0
early_seir_infected_only,45,bic,seir,sir,0
early_seir_infected_only,45,gic_eff,seir,sir,0
early_seir_infected_only,45,gic_vol_025,seir,sir,0
early_seir_infected_only,45,gic_vol_050,seir,sir,0
early_seir_infected_only,45,gic_vol_100,seir,seir,1
early_seir_infected_only,45,ogic_e,seir,seir,1
early_seir_infected_only,46,aic,seir,seir,1
early_seir_infected_only,46,aicc,seir,sir,0
early_seir_infected_only,46,bic,seir,seir,1
early_seir_infected_only,46,gic_eff,seir,seir,1
early_seir_infected_only,46,gic_vol_025,seir,seir,1
early_seir_infected_only,46,gic_vol_050,seir,seir,1
early_seir_infected_only,46,gic_vol_100,seir,seir,1
early_seir_infected_only,46,ogic_e,seir,seir,1
early_seir_infected_only,47,aic,seir,sir,0
early_seir_infected_only,47,aicc,seir,sir,0
early_seir_infected_only,47,bic,seir,sir,0
early_seir_infected_only,47,gic_eff,seir,sir,0
early_seir_infected_only,47,gic_vol_025,seir,sir,0
early_seir_infected_only,47,gic_vol_050,seir,sir,0
early_seir_infected_only,47,gic_vol_100,seir,sir,0
early_seir_infected_only,47,ogic_e,seir,sir,0
early_seir_infected_only,48,aic,seir,tv_sir,0
early_seir_infected_only,48,aicc,seir,sir,0
early_seir_infected_only,48,bic,seir,seir,1
early_seir_infected_only,48,gic_eff,seir,seir,1
early_seir_infected_only,48,gic_vol_025,seir,seir,1
early_seir_infected_only,48,gic_vol_050,seir,seir,1
early_seir_infected_only,48,gic_vol_100,seir,seir,1
early_seir_infected_only,48,ogic_e,seir,seir,1
early_seir_infected_only,49,aic,seir,tv_sir,0
early_seir_infected_only,49,aicc,seir,seir,1
early_seir_infected_only,49,bic,seir,tv_sir,0
early_seir_infected_only,49,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,49,gic_vol_025,seir,seir,1
early_seir_infected_only,49,gic_vol_050,seir,seir,1
early_seir_infected_only,49,gic_vol_100,seir,seir,1
early_seir_infected_only,49,ogic_e,seir,seir,1
early_seir_infected_only,50,aic,seir,sir,0
early_seir_infected_only,50,aicc,seir,sir,0
early_seir_infected_only,50,bic,seir,sir,0
early_seir_infected_only,50,gic_eff,seir,sir,0
early_seir_infected_only,50,gic_vol_025,seir,seir,1
early_seir_infected_only,50,gic_vol_050,seir,seir,1
early_seir_infected_only,50,gic_vol_100,seir,seir,1
early_seir_infected_only,50,ogic_e,seir,seir,1
early_seir_infected_only,51,aic,seir,sir,0
early_seir_infected_only,51,aicc,seir,sir,0
early_seir_infected_only,51,bic,seir,sir,0
early_seir_infected_only,51,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,51,gic_vol_025,seir,sir,0
early_seir_infected_only,51,gic_vol_050,seir,sir,0
early_seir_infected_only,51,gic_vol_100,seir,seir,1
early_seir_infected_only,51,ogic_e,seir,seir,1
early_seir_infected_only,52,aic,seir,sir,0
early_seir_infected_only,52,aicc,seir,sir,0
early_seir_infected_only,52,bic,seir,sir,0
early_seir_infected_only,52,gic_eff,seir,seir,1
early_seir_infected_only,52,gic_vol_025,seir,seir,1
early_seir_infected_only,52,gic_vol_050,seir,seir,1
early_seir_infected_only,52,gic_vol_100,seir,seir,1
early_seir_infected_only,52,ogic_e,seir,seir,1
early_seir_infected_only,53,aic,seir,sir,0
early_seir_infected_only,53,aicc,seir,sir,0
early_seir_infected_only,53,bic,seir,sir,0
early_seir_infected_only,53,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,53,gic_vol_025,seir,sir,0
early_seir_infected_only,53,gic_vol_050,seir,sir,0
early_seir_infected_only,53,gic_vol_100,seir,seir,1
early_seir_infected_only,53,ogic_e,seir,seir,1
early_seir_infected_only,54,aic,seir,sir,0
early_seir_infected_only,54,aicc,seir,sir,0
early_seir_infected_only,54,bic,seir,sir,0
early_seir_infected_only,54,gic_eff,seir,seir,1
early_seir_infected_only,54,gic_vol_025,seir,seir,1
early_seir_infected_only,54,gic_vol_050,seir,seir,1
early_seir_infected_only,54,gic_vol_100,seir,seir,1
early_seir_infected_only,54,ogic_e,seir,seir,1
early_seir_infected_only,55,aic,seir,sir,0
early_seir_infected_only,55,aicc,seir,sir,0
early_seir_infected_only,55,bic,seir,sir,0
early_seir_infected_only,55,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,55,gic_vol_025,seir,sir,0
early_seir_infected_only,55,gic_vol_050,seir,sir,0
early_seir_infected_only,55,gic_vol_100,seir,sir,0
early_seir_infected_only,55,ogic_e,seir,seir,1
early_seir_infected_only,56,aic,seir,sir,0
early_seir_infected_only,56,aicc,seir,sir,0
early_seir_infected_only,56,bic,seir,sir,0
early_seir_infected_only,56,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,56,gic_vol_025,seir,seir,1
early_seir_infected_only,56,gic_vol_050,seir,seir,1
early_seir_infected_only,56,gic_vol_100,seir,seir,1
early_seir_infected_only,56,ogic_e,seir,seir,1
early_seir_infected_only,57,aic,seir,sir,0
early_seir_infected_only,57,aicc,seir,sir,0
early_seir_infected_only,57,bic,seir,sir,0
early_seir_infected_only,57,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,57,gic_vol_025,seir,sir,0
early_seir_infected_only,57,gic_vol_050,seir,sir,0
early_seir_infected_only,57,gic_vol_100,seir,sir,0
early_seir_infected_only,57,ogic_e,seir,seir,1
early_seir_infected_only,58,aic,seir,sir,0
early_seir_infected_only,58,aicc,seir,sir,0
early_seir_infected_only,58,bic,seir,sir,0
early_seir_infected_only,58,gic_eff,seir,seir,1
early_seir_infected_only,58,gic_vol_025,seir,seir,1
early_seir_infected_only,58,gic_vol_050,seir,seir,1
early_seir_infected_only,58,gic_vol_100,seir,seir,1
early_seir_infected_only,58,ogic_e,seir,seir,1
early_seir_infected_only,59,aic,seir,sir,0
early_seir_infected_only,59,aicc,seir,sir,0
early_seir_infected_only,59,bic,seir,sir,0
early_seir_infected_only,59,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,59,gic_vol_025,seir,sir,0
early_seir_infected_only,59,gic_vol_050,seir,sir,0
early_seir_infected_only,59,gic_vol_100,seir,sir,0
early_seir_infected_only,59,ogic_e,seir,seir,1
early_seir_infected_only,60,aic,seir,sir,0
early_seir_infected_only,60,aicc,seir,sir,0
early_seir_infected_only,60,bic,seir,sir,0
early_seir_infected_only,60,gic_eff,seir,sir,0
early_seir_infected_only,60,gic_vol_025,seir,sir,0
early_seir_infected_only,60,gic_vol_050,seir,sir,0
early_seir_infected_only,60,gic_vol_100,seir,seir,1
early_seir_infected_only,60,ogic_e,seir,sir,0
early_seir_infected_only,61,aic,seir,tv_sir,0
early_seir_infected_only,61,aicc,seir,sir,0
early_seir_infected_only,61,bic,seir,sir,0
early_seir_infected_only,61,gic_eff,seir,tv_sir,0
early_seir_infected_only,61,gic_vol_025,seir,seir,1
early_seir_infected_only,61,gic_vol_050,seir,seir,1
early_seir_infected_only,61,gic_vol_100,seir,seir,1
early_seir_infected_only,61,ogic_e,seir,sir,0
early_seir_infected_only,62,aic,seir,sir,0
early_seir_infected_only,62,aicc,seir,sir,0
early_seir_infected_only,62,bic,seir,sir,0
early_seir_infected_only,62,gic_eff,seir,sir,0
early_seir_infected_only,62,gic_vol_025,seir,sir,0
early_seir_infected_only,62,gic_vol_050,seir,sir,0
early_seir_infected_only,62,gic_vol_100,seir,seir,1
early_seir_infected_only,62,ogic_e,seir,sir,0
early_seir_infected_only,63,aic,seir,seir,1
early_seir_infected_only,63,aicc,seir,sir,0
early_seir_infected_only,63,bic,seir,sir,0
early_seir_infected_only,63,gic_eff,seir,seir,1
early_seir_infected_only,63,gic_vol_025,seir,seir,1
early_seir_infected_only,63,gic_vol_050,seir,seir,1
early_seir_infected_only,63,gic_vol_100,seir,seir,1
early_seir_infected_only,63,ogic_e,seir,seir,1
early_seir_infected_only,64,aic,seir,sir,0
early_seir_infected_only,64,aicc,seir,sir,0
early_seir_infected_only,64,bic,seir,sir,0
early_seir_infected_only,64,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,64,gic_vol_025,seir,sir,0
early_seir_infected_only,64,gic_vol_050,seir,sir,0
early_seir_infected_only,64,gic_vol_100,seir,seir,1
early_seir_infected_only,64,ogic_e,seir,seir,1
early_seir_infected_only,65,aic,seir,sir,0
early_seir_infected_only,65,aicc,seir,sir,0
early_seir_infected_only,65,bic,seir,sir,0
early_seir_infected_only,65,gic_eff,seir,sir,0
early_seir_infected_only,65,gic_vol_025,seir,sir,0
early_seir_infected_only,65,gic_vol_050,seir,sir,0
early_seir_infected_only,65,gic_vol_100,seir,sir,0
early_seir_infected_only,65,ogic_e,seir,sir,0
early_seir_infected_only,66,aic,seir,sir,0
early_seir_infected_only,66,aicc,seir,sir,0
early_seir_infected_only,66,bic,seir,sir,0
early_seir_infected_only,66,gic_eff,seir,seir,1
early_seir_infected_only,66,gic_vol_025,seir,seir,1
early_seir_infected_only,66,gic_vol_050,seir,seir,1
