schema_version,protocol_hash,status,scenario,truth,candidate,seed,observation,noise,n_observations,dimension,objective,deviance,forecast_mse,gradient_norm,best_start,wall_seconds,second_best_objective_gap,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,49,infected,0.02,16,14,-22.429320069408444,-70.12586040887305,0.004992390416335711,4.3874431839661964e-05,3,78.58706779999193,3.6616398801925243e-10,8,-42.12586040887305,377.87413959112695,-31.309618297516117,-63.69256552772261,-61.447037270369,-59.2015090130154,-54.71045249830819,-65.485219098067,-35.876527109402474,2.320320655403025,8.982113029414414,25.267220270056164
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,50,infected,0.02,16,14,-27.279314302964927,-73.53709047732713,0.0119969323810429,9.888621720326876e-06,0,77.3488344999787,1.4072298881728784e-10,8,-45.537090477327126,374.4629095226729,-34.72084836597019,-67.54579639943425,-65.5927093393645,-63.63962227929475,-59.73344815915524,-69.2152853499854,-46.74628036565084,2.160902563670866,7.812348240279013,18.97846187139727
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,51,infected,0.02,16,14,-32.38482536574506,-85.67652913474595,0.006120583977987738,2.7083188080449782e-05,1,73.84969959998853,1.2865086773672374e-10,8,-57.67652913474595,362.3234708652541,-46.86028702338901,-79.13620873538244,-76.90816537166464,-74.68012200794684,-70.22403528051123,-80.95868523175261,-55.85747727661891,2.358921951496667,8.912173454871207,20.906878403255824
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,52,infected,0.02,16,14,-31.13841707220156,-84.79295252234638,0.007275682307426791,3.229798217510496e-05,4,77.72344169998541,7.767120280277595e-10,8,-56.79295252234638,363.20704747765365,-45.97671041098945,-78.38542217750465,-76.24064956808249,-74.09587695866033,-69.80633173981602,-80.17089639592203,-53.69774370671448,2.311028063212179,8.579090437688636,22.516118377943265
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,53,infected,0.02,16,14,-28.38104648470615,-78.00023928370429,0.00786592593737614,3.0476732390780127e-05,2,82.87981760001276,2.3913315772006172e-11,8,-50.00023928370429,369.9997607162957,-39.183997172347354,-71.61098373940506,-69.48308651291413,-67.35518928642321,-63.099394833441366,-73.39136563933788,-48.2505040634486,2.3044368221832046,8.511588905963695,21.23814631429199
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,54,infected,0.02,16,14,-22.46303655594867,-68.01410860993744,0.00572076542251965,3.350441989854268e-05,3,70.08852370001841,2.935465204245702e-10,8,-40.01410860993744,379.98589139006253,-29.197866498580503,-61.3643632242206,-59.12527945940467,-56.88619569458875,-52.4080281649569,-63.21733126436346,-35.969738052633645,2.398388672786989,8.956335059263694,23.0880354980401
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,55,infected,0.02,16,14,-30.709859011909117,-81.3802313208454,0.005926359702429826,3.0742597305482254e-05,1,62.85483940000995,9.307399295721552e-11,8,-53.3802313208454,366.6197686791546,-42.56398920948846,-74.7292291312004,-72.47900509553573,-70.22878105987105,-65.72833298854172,-76.58254738287415,-52.41882188115956,2.398841968985621,9.000896142658677,19.960513297027166
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,56,infected,0.02,16,14,-31.24915735958173,-83.99521336775553,0.00738138298894377,2.6142549411573116e-05,2,50.49867830000585,2.1280754936015e-11,8,-55.995213367755525,364.0047866322445,-45.17897125639859,-77.68880729745555,-75.53898582074994,-73.38916434404435,-69.08952139063314,-79.44610298602862,-53.89902881234104,2.2745551908634543,8.599285906822423,21.496898648592065
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,57,infected,0.02,16,14,-26.343556889518112,-72.90887778454142,0.005790497384168532,1.1696263278600262e-05,0,46.765865599998506,1.2509104863056564e-11,8,-44.90887778454142,375.0911222154586,-34.09263567318448,-66.4116556947598,-64.17070493685543,-61.92975417895105,-57.44785266314229,-68.22212274030034,-43.723310747418715,2.343377522120543,8.963803031617507,20.221764005505193
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,58,infected,0.02,16,14,-35.666684403277394,-89.85643969088515,0.009195723938591234,2.2543047185343277e-05,3,46.95588290001615,1.1534950772329466e-10,8,-61.85643969088515,358.14356030911483,-51.04019757952822,-83.6061536385724,-81.51397772507717,-79.42180181158196,-75.2374499845915,-85.34781134498061,-62.9646651525739,2.2543141729522698,8.368703653980887,18.52307088433037
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,59,infected,0.02,16,14,-30.397502562159985,-81.43935527655438,0.006754902608852232,3.1849592518350125e-05,1,53.17331209999975,1.2147438610554673e-10,8,-53.43935527655438,366.56064472344565,-42.623113165197445,-75.06786925770021,-72.88576280473717,-70.70365635177411,-66.33944344584802,-76.84329963530723,-52.06657931246778,2.2980278206235716,8.728425811852187,20.644350152234413
