scenario,seed,method,mse,log_score,coverage90,mean_width90,within_variance,between_variance,weight_sir,weight_tv_sir,weight_ude_sir_h2,weight_neural_ode_h2
early_seir_infected_only,11,hard_gic_pred,7.72886502244251e-05,2.3215761810785485,1.0,0.1349702116152324,0.0018973875845440325,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,12,equal,0.0034317025549698336,1.5286750940574316,1.0,0.15631821903526513,0.0019438647373574804,0.00036951499312195846,0.25,0.25,0.25,0.25
early_seir_infected_only,12,aic,0.0025154612386166504,1.7881848852347855,1.0,0.14160818779470183,0.001956687698562974,3.4800175789738217e-06,0.848071977614186,0.1518213181460789,0.00010467460407425138,2.0296356608933146e-06
early_seir_infected_only,12,bic,0.0025115413023229054,1.7923770150197529,1.0,0.1347779844217095,0.0017786460749585576,1.9039775325627906e-06,0.9236357772372776,0.07636067744984057,3.5238691679988593e-06,2.1443713963233722e-08
early_seir_infected_only,12,gic_evid,0.00251136213145456,1.792613222907325,1.0,0.13146061708053727,0.0016955553171452706,1.0974014154569582e-06,0.48667778136943146,0.040747845831584695,0.47255225883621743,2.2113962766588576e-05
early_seir_infected_only,12,stacking,0.00250789431323217,1.7920406513440676,1.0,0.12747164038910797,0.0015984791369932077,1.9912199636600708e-13,0.9999999968880005,6.577920472704698e-11,2.9399792383010913e-09,1.0624126216718798e-10
early_seir_infected_only,12,hard_gic_pred,0.002507894312875678,1.7920406514921134,1.0,0.12747164037681016,0.0015984791369361613,0.0,1.0,0.0,0.0,0.0
early_seir_infected_only,13,equal,0.0033985463572278325,1.5100937038398712,1.0,0.15755704670262075,0.0019582113475027185,0.00045135752087788937,0.25,0.25,0.25,0.25
early_seir_infected_only,13,aic,0.002255651706353539,1.7922769899044313,1.0,0.15144726537744244,0.0022838469555324036,1.767615725816851e-05,0.736909388125688,0.26298480838074245,9.094069641219433e-05,1.4862797157544031e-05
early_seir_infected_only,13,bic,0.002325552724736599,1.7964770624374697,1.0,0.14386655469719997,0.00206773534516008,1.1056751564256866e-05,0.8585055996058572,0.14149095752192992,3.2748976653015646e-06,1.6797454772412282e-07
early_seir_infected_only,13,gic_evid,0.002360472790617555,1.7962721308920377,1.0,0.1402393488952792,0.0019684315862688443,7.79714500549628e-06,0.46402024261122155,0.0845088854279442,0.451137423391954,0.00033344856888016457
early_seir_infected_only,13,stacking,0.007235336908400663,-0.07174961151828223,0.0,0.1225215586772221,0.0010888564170205251,0.0003454697685437965,3.526619148994963e-10,0.16312985558040838,3.52207619747733e-10,0.8368701437147221
early_seir_infected_only,13,hard_gic_pred,0.008690342809408053,-4.1634064477264054,0.0,0.08004848020697648,0.0006003448579014176,0.0,0.0,0.0,0.0,1.0
early_seir_infected_only,14,equal,0.0007551916067539307,1.9191065978908552,1.0,0.18083666462477077,0.0022435027805903186,0.0009429901011019165,0.25,0.25,0.25,0.25
early_seir_infected_only,14,aic,0.00016352861170147826,2.1464980196444925,1.0,0.15831527354921934,0.002550388837479779,4.369259285747486e-05,0.8127823951162962,0.1871158095525764,0.00010032917484643,1.4661562809083844e-06
early_seir_infected_only,14,bic,0.00013234163978273283,2.184096299019298,1.0,0.1529546971991789,0.0024080619606041288,2.4948254599205602e-05,0.9038964332882604,0.09610010198279631,3.448911418123319e-06,1.5817525256659173e-08
early_seir_infected_only,14,gic_evid,0.00011300269898175418,2.2108392050682286,1.0,0.1492218969371865,0.002314932238265094,9.48194724427433e-06,0.4890459095624697,0.03389045560519653,0.4770610024927261,2.63233960770805e-06
early_seir_infected_only,14,stacking,0.00010457796724287737,2.2269965487196663,1.0,0.14693349188382424,0.0022577826942542455,3.8097689165372226e-13,0.9999999674351177,4.8740271630876545e-11,3.244856221144865e-08,6.757988014898271e-11
early_seir_infected_only,14,hard_gic_pred,0.000104577967250777,2.226996548864103,1.0,0.14693349186135612,0.002257782694005428,0.0,1.0,0.0,0.0,0.0
early_seir_infected_only,15,equal,0.0007787044906191681,1.9044376107684744,1.0,0.1779594298768259,0.0020351313709161883,0.0010856942944469752,0.25,0.25,0.25,0.25
early_seir_infected_only,15,aic,3.847272661335896e-05,2.2326791794867753,1.0,0.14828171076249008,0.0021853935805647698,8.803776140597355e-05,0.8341163380900225,0.16577057692232866,0.00010310874497802837,9.976242671007903e-06
early_seir_infected_only,15,bic,1.9308401864053033e-05,2.2830756246243804,1.0,0.14164167824685522,0.0020318684998409126,4.898604238172426e-05,0.9159318318991255,0.0840645620355626,3.4997936637175474e-06,1.0627164821376113e-07
early_seir_infected_only,15,gic_evid,1.0381461474553641e-05,2.322225629193383,1.0,0.13654642580611318,0.0019236801617292874,1.6131154173777876e-05,0.49228833079311046,0.025619210875387665,0.48206942935101055,2.3028980491315943e-05
early_seir_infected_only,15,stacking,8.381596485317299e-06,2.334475660229596,1.0,0.13488043620952594,0.00187373681744905,1.8962972490320778e-05,4.641221586643976e-08,2.1816709057252445e-10,0.9970826265409444,0.002917326828672637
early_seir_infected_only,15,hard_gic_pred,7.759241404995027e-06,2.340316784283608,1.0,0.13421498041667831,0.001877357592846663,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,16,equal,0.0034144640847839475,1.431233269959374,1.0,0.1522912326672462,0.0016357128233808187,0.0006331328877211818,0.25,0.25,0.25,0.25
