study,seed,criterion,truth,selected,correct
biochemical_ude,6,ogic_e,ude_mm,ude_mm,1
biochemical_ude,7,aic,ude_mm,mm,0
biochemical_ude,7,aicc,ude_mm,mm,0
biochemical_ude,7,bic,ude_mm,mm,0
biochemical_ude,7,gic_eff,ude_mm,ude_mm,1
biochemical_ude,7,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,7,ogic_e,ude_mm,mm,0
biochemical_ude,8,aic,ude_mm,mm,0
biochemical_ude,8,aicc,ude_mm,mm,0
biochemical_ude,8,bic,ude_mm,mm,0
biochemical_ude,8,gic_eff,ude_mm,haldane,0
biochemical_ude,8,gic_vol_050,ude_mm,haldane,0
biochemical_ude,8,ogic_e,ude_mm,mm,0
biochemical_ude,9,aic,ude_mm,mm,0
biochemical_ude,9,aicc,ude_mm,mm,0
biochemical_ude,9,bic,ude_mm,mm,0
biochemical_ude,9,gic_eff,ude_mm,ude_mm,1
biochemical_ude,9,gic_vol_050,ude_mm,mm,0
biochemical_ude,9,ogic_e,ude_mm,mm,0
biochemical_ude,10,aic,ude_mm,mm,0
biochemical_ude,10,aicc,ude_mm,mm,0
biochemical_ude,10,bic,ude_mm,mm,0
biochemical_ude,10,gic_eff,ude_mm,ude_mm,1
biochemical_ude,10,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,10,ogic_e,ude_mm,ude_mm,1
biochemical_ude,11,aic,ude_mm,neural_rate,0
biochemical_ude,11,aicc,ude_mm,mm,0
biochemical_ude,11,bic,ude_mm,mm,0
biochemical_ude,11,gic_eff,ude_mm,neural_rate,0
biochemical_ude,11,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,11,ogic_e,ude_mm,ude_mm,1
biochemical_ude,12,aic,ude_mm,mm,0
biochemical_ude,12,aicc,ude_mm,mm,0
biochemical_ude,12,bic,ude_mm,mm,0
biochemical_ude,12,gic_eff,ude_mm,mm,0
biochemical_ude,12,gic_vol_050,ude_mm,mm,0
biochemical_ude,12,ogic_e,ude_mm,mm,0
biochemical_ude,13,aic,ude_mm,mm,0
biochemical_ude,13,aicc,ude_mm,mm,0
biochemical_ude,13,bic,ude_mm,mm,0
biochemical_ude,13,gic_eff,ude_mm,mm,0
biochemical_ude,13,gic_vol_050,ude_mm,mm,0
biochemical_ude,13,ogic_e,ude_mm,mm,0
biochemical_ude,14,aic,ude_mm,mm,0
biochemical_ude,14,aicc,ude_mm,mm,0
biochemical_ude,14,bic,ude_mm,mm,0
biochemical_ude,14,gic_eff,ude_mm,ude_mm,1
biochemical_ude,14,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,14,ogic_e,ude_mm,ude_mm,1
biochemical_ude,15,aic,ude_mm,mm,0
biochemical_ude,15,aicc,ude_mm,mm,0
biochemical_ude,15,bic,ude_mm,mm,0
biochemical_ude,15,gic_eff,ude_mm,ude_mm,1
biochemical_ude,15,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,15,ogic_e,ude_mm,ude_mm,1
biochemical_ude,16,aic,ude_mm,mm,0
biochemical_ude,16,aicc,ude_mm,mm,0
biochemical_ude,16,bic,ude_mm,mm,0
biochemical_ude,16,gic_eff,ude_mm,ude_mm,1
biochemical_ude,16,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,16,ogic_e,ude_mm,ude_mm,1
biochemical_ude,17,aic,ude_mm,mm,0
biochemical_ude,17,aicc,ude_mm,mm,0
biochemical_ude,17,bic,ude_mm,mm,0
biochemical_ude,17,gic_eff,ude_mm,ude_mm,1
biochemical_ude,17,gic_vol_050,ude_mm,mm,0
biochemical_ude,17,ogic_e,ude_mm,mm,0
biochemical_ude,18,aic,ude_mm,mm,0
biochemical_ude,18,aicc,ude_mm,mm,0
biochemical_ude,18,bic,ude_mm,mm,0
biochemical_ude,18,gic_eff,ude_mm,mm,0
biochemical_ude,18,gic_vol_050,ude_mm,mm,0
biochemical_ude,18,ogic_e,ude_mm,mm,0
biochemical_ude,19,aic,ude_mm,mm,0
biochemical_ude,19,aicc,ude_mm,mm,0
biochemical_ude,19,bic,ude_mm,mm,0
biochemical_ude,19,gic_eff,ude_mm,ude_mm,1
biochemical_ude,19,gic_vol_050,ude_mm,mm,0
biochemical_ude,19,ogic_e,ude_mm,mm,0
biochemical_ude,20,aic,ude_mm,mm,0
biochemical_ude,20,aicc,ude_mm,mm,0
biochemical_ude,20,bic,ude_mm,mm,0
biochemical_ude,20,gic_eff,ude_mm,ude_mm,1
biochemical_ude,20,gic_vol_050,ude_mm,mm,0
biochemical_ude,20,ogic_e,ude_mm,mm,0
biochemical_ude,21,aic,ude_mm,mm,0
biochemical_ude,21,aicc,ude_mm,mm,0
biochemical_ude,21,bic,ude_mm,mm,0
biochemical_ude,21,gic_eff,ude_mm,mm,0
biochemical_ude,21,gic_vol_050,ude_mm,mm,0
biochemical_ude,21,ogic_e,ude_mm,mm,0
biochemical_ude,22,aic,ude_mm,mm,0
biochemical_ude,22,aicc,ude_mm,mm,0
biochemical_ude,22,bic,ude_mm,mm,0
biochemical_ude,22,gic_eff,ude_mm,mm,0
biochemical_ude,22,gic_vol_050,ude_mm,mm,0
biochemical_ude,22,ogic_e,ude_mm,mm,0
biochemical_ude,23,aic,ude_mm,mm,0
biochemical_ude,23,aicc,ude_mm,mm,0
biochemical_ude,23,bic,ude_mm,mm,0
biochemical_ude,23,gic_eff,ude_mm,mm,0
biochemical_ude,23,gic_vol_050,ude_mm,mm,0
biochemical_ude,23,ogic_e,ude_mm,mm,0
biochemical_ude,24,aic,ude_mm,mm,0
biochemical_ude,24,aicc,ude_mm,mm,0
biochemical_ude,24,bic,ude_mm,mm,0
biochemical_ude,24,gic_eff,ude_mm,mm,0
biochemical_ude,24,gic_vol_050,ude_mm,mm,0
biochemical_ude,24,ogic_e,ude_mm,mm,0
biochemical_ude,25,aic,ude_mm,mm,0
biochemical_ude,25,aicc,ude_mm,mm,0
biochemical_ude,25,bic,ude_mm,mm,0
biochemical_ude,25,gic_eff,ude_mm,mm,0
biochemical_ude,25,gic_vol_050,ude_mm,mm,0
biochemical_ude,25,ogic_e,ude_mm,mm,0
biochemical_ude,26,aic,ude_mm,mm,0
biochemical_ude,26,aicc,ude_mm,mm,0
biochemical_ude,26,bic,ude_mm,mm,0
biochemical_ude,26,gic_eff,ude_mm,mm,0
biochemical_ude,26,gic_vol_050,ude_mm,mm,0
biochemical_ude,26,ogic_e,ude_mm,mm,0
biochemical_ude,27,aic,ude_mm,mm,0
biochemical_ude,27,aicc,ude_mm,mm,0
biochemical_ude,27,bic,ude_mm,mm,0
biochemical_ude,27,gic_eff,ude_mm,ude_mm,1
biochemical_ude,27,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,27,ogic_e,ude_mm,ude_mm,1
biochemical_ude,28,aic,ude_mm,mm,0
biochemical_ude,28,aicc,ude_mm,mm,0
biochemical_ude,28,bic,ude_mm,mm,0
biochemical_ude,28,gic_eff,ude_mm,ude_mm,1
biochemical_ude,28,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,28,ogic_e,ude_mm,ude_mm,1
biochemical_ude,29,aic,ude_mm,mm,0
biochemical_ude,29,aicc,ude_mm,mm,0
biochemical_ude,29,bic,ude_mm,mm,0
biochemical_ude,29,gic_eff,ude_mm,ude_mm,1
biochemical_ude,29,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,29,ogic_e,ude_mm,ude_mm,1
ecology_rm,0,aic,rm,rm,1
ecology_rm,0,aicc,rm,rm,1
ecology_rm,0,bic,rm,rm,1
ecology_rm,0,gic_eff,rm,rm,1
ecology_rm,0,gic_vol_050,rm,rm,1
ecology_rm,0,ogic_e,rm,rm,1
ecology_rm,1,aic,rm,rm,1
ecology_rm,1,aicc,rm,rm,1
ecology_rm,1,bic,rm,rm,1
ecology_rm,1,gic_eff,rm,rm,1
ecology_rm,1,gic_vol_050,rm,rm,1
ecology_rm,1,ogic_e,rm,rm,1
ecology_rm,2,aic,rm,rm,1
ecology_rm,2,aicc,rm,rm,1
ecology_rm,2,bic,rm,rm,1
ecology_rm,2,gic_eff,rm,rm,1
ecology_rm,2,gic_vol_050,rm,rm,1
ecology_rm,2,ogic_e,rm,rm,1
ecology_rm,3,aic,rm,rm,1
ecology_rm,3,aicc,rm,rm,1
ecology_rm,3,bic,rm,rm,1
ecology_rm,3,gic_eff,rm,rm,1
ecology_rm,3,gic_vol_050,rm,rm,1
ecology_rm,3,ogic_e,rm,rm,1
ecology_rm,4,aic,rm,rm,1
ecology_rm,4,aicc,rm,rm,1
ecology_rm,4,bic,rm,rm,1
ecology_rm,4,gic_eff,rm,rm,1
ecology_rm,4,gic_vol_050,rm,rm,1
ecology_rm,4,ogic_e,rm,rm,1
ecology_rm,5,aic,rm,rm,1
ecology_rm,5,aicc,rm,rm,1
ecology_rm,5,bic,rm,rm,1
ecology_rm,5,gic_eff,rm,rm,1
ecology_rm,5,gic_vol_050,rm,rm,1
ecology_rm,5,ogic_e,rm,rm,1
ecology_rm,6,aic,rm,rm,1
ecology_rm,6,aicc,rm,rm,1
ecology_rm,6,bic,rm,rm,1
ecology_rm,6,gic_eff,rm,rm,1
