n_times,noise,trajectories,seed,criterion,selected,correct
10,0.005,4,6,bic,ude_sir_h2,1
10,0.005,4,6,gic_eff,ude_sir_h2,1
10,0.005,4,6,gic_vol_050,ude_sir_h2,1
10,0.005,4,6,ogic_e,ude_sir_h2,1
10,0.005,4,7,aic,ude_sir_h2,1
10,0.005,4,7,bic,ude_sir_h2,1
10,0.005,4,7,gic_eff,ude_sir_h2,1
10,0.005,4,7,gic_vol_050,ude_sir_h2,1
10,0.005,4,7,ogic_e,ude_sir_h2,1
10,0.005,4,8,aic,ude_sir_h2,1
10,0.005,4,8,bic,ude_sir_h2,1
10,0.005,4,8,gic_eff,ude_sir_h2,1
10,0.005,4,8,gic_vol_050,ude_sir_h2,1
10,0.005,4,8,ogic_e,ude_sir_h2,1
10,0.005,4,9,aic,ude_sir_h2,1
10,0.005,4,9,bic,ude_sir_h2,1
10,0.005,4,9,gic_eff,ude_sir_h2,1
10,0.005,4,9,gic_vol_050,ude_sir_h2,1
10,0.005,4,9,ogic_e,ude_sir_h2,1
10,0.005,4,10,aic,ude_sir_h2,1
10,0.005,4,10,bic,ude_sir_h2,1
10,0.005,4,10,gic_eff,ude_sir_h2,1
10,0.005,4,10,gic_vol_050,ude_sir_h2,1
10,0.005,4,10,ogic_e,ude_sir_h2,1
10,0.005,4,11,aic,ude_sir_h2,1
10,0.005,4,11,bic,ude_sir_h2,1
10,0.005,4,11,gic_eff,ude_sir_h2,1
10,0.005,4,11,gic_vol_050,ude_sir_h2,1
10,0.005,4,11,ogic_e,ude_sir_h2,1
10,0.005,4,12,aic,ude_sir_h2,1
10,0.005,4,12,bic,ude_sir_h2,1
10,0.005,4,12,gic_eff,ude_sir_h2,1
10,0.005,4,12,gic_vol_050,ude_sir_h2,1
10,0.005,4,12,ogic_e,ude_sir_h2,1
10,0.005,4,13,aic,ude_sir_h2,1
10,0.005,4,13,bic,ude_sir_h2,1
10,0.005,4,13,gic_eff,ude_sir_h2,1
10,0.005,4,13,gic_vol_050,ude_sir_h2,1
10,0.005,4,13,ogic_e,ude_sir_h2,1
10,0.005,4,14,aic,ude_sir_h2,1
10,0.005,4,14,bic,ude_sir_h2,1
10,0.005,4,14,gic_eff,ude_sir_h2,1
10,0.005,4,14,gic_vol_050,ude_sir_h2,1
10,0.005,4,14,ogic_e,ude_sir_h2,1
10,0.005,4,15,aic,ude_sir_h2,1
10,0.005,4,15,bic,ude_sir_h2,1
10,0.005,4,15,gic_eff,ude_sir_h2,1
10,0.005,4,15,gic_vol_050,ude_sir_h2,1
10,0.005,4,15,ogic_e,ude_sir_h2,1
10,0.005,4,16,aic,ude_sir_h2,1
10,0.005,4,16,bic,ude_sir_h2,1
10,0.005,4,16,gic_eff,ude_sir_h2,1
10,0.005,4,16,gic_vol_050,ude_sir_h2,1
10,0.005,4,16,ogic_e,ude_sir_h2,1
10,0.005,4,17,aic,ude_sir_h2,1
10,0.005,4,17,bic,ude_sir_h2,1
10,0.005,4,17,gic_eff,ude_sir_h2,1
10,0.005,4,17,gic_vol_050,ude_sir_h2,1
10,0.005,4,17,ogic_e,ude_sir_h2,1
10,0.005,4,18,aic,ude_sir_h2,1
10,0.005,4,18,bic,ude_sir_h2,1
10,0.005,4,18,gic_eff,ude_sir_h2,1
10,0.005,4,18,gic_vol_050,ude_sir_h2,1
10,0.005,4,18,ogic_e,ude_sir_h2,1
10,0.005,4,19,aic,ude_sir_h2,1
10,0.005,4,19,bic,ude_sir_h2,1
10,0.005,4,19,gic_eff,ude_sir_h2,1
10,0.005,4,19,gic_vol_050,ude_sir_h2,1
10,0.005,4,19,ogic_e,ude_sir_h2,1
10,0.015,1,0,aic,tv_sir,0
10,0.015,1,0,bic,tv_sir,0
10,0.015,1,0,gic_eff,ude_sir_h2,1
10,0.015,1,0,gic_vol_050,ude_sir_h2,1
10,0.015,1,0,ogic_e,tv_sir,0
10,0.015,1,1,aic,tv_sir,0
10,0.015,1,1,bic,tv_sir,0
10,0.015,1,1,gic_eff,ude_sir_h2,1
10,0.015,1,1,gic_vol_050,ude_sir_h2,1
10,0.015,1,1,ogic_e,tv_sir,0
10,0.015,1,2,aic,tv_sir,0
10,0.015,1,2,bic,tv_sir,0
10,0.015,1,2,gic_eff,tv_sir,0
10,0.015,1,2,gic_vol_050,ude_sir_h2,1
10,0.015,1,2,ogic_e,tv_sir,0
10,0.015,1,3,aic,tv_sir,0
10,0.015,1,3,bic,tv_sir,0
10,0.015,1,3,gic_eff,tv_sir,0
10,0.015,1,3,gic_vol_050,neural_ode_h2,0
10,0.015,1,3,ogic_e,tv_sir,0
10,0.015,1,4,aic,tv_sir,0
10,0.015,1,4,bic,tv_sir,0
10,0.015,1,4,gic_eff,tv_sir,0
10,0.015,1,4,gic_vol_050,tv_sir,0
10,0.015,1,4,ogic_e,tv_sir,0
10,0.015,1,5,aic,tv_sir,0
10,0.015,1,5,bic,tv_sir,0
10,0.015,1,5,gic_eff,neural_ode_h2,0
10,0.015,1,5,gic_vol_050,neural_ode_h2,0
10,0.015,1,5,ogic_e,tv_sir,0
10,0.015,1,6,aic,tv_sir,0
10,0.015,1,6,bic,tv_sir,0
10,0.015,1,6,gic_eff,tv_sir,0
10,0.015,1,6,gic_vol_050,tv_sir,0
10,0.015,1,6,ogic_e,tv_sir,0
10,0.015,1,7,aic,tv_sir,0
10,0.015,1,7,bic,tv_sir,0
10,0.015,1,7,gic_eff,ude_sir_h2,1
10,0.015,1,7,gic_vol_050,neural_ode_h2,0
10,0.015,1,7,ogic_e,tv_sir,0
10,0.015,1,8,aic,tv_sir,0
10,0.015,1,8,bic,tv_sir,0
10,0.015,1,8,gic_eff,neural_ode_h2,0
10,0.015,1,8,gic_vol_050,neural_ode_h2,0
10,0.015,1,8,ogic_e,tv_sir,0
10,0.015,1,9,aic,tv_sir,0
10,0.015,1,9,bic,tv_sir,0
10,0.015,1,9,gic_eff,tv_sir,0
10,0.015,1,9,gic_vol_050,tv_sir,0
10,0.015,1,9,ogic_e,tv_sir,0
10,0.015,1,10,aic,tv_sir,0
10,0.015,1,10,bic,tv_sir,0
10,0.015,1,10,gic_eff,ude_sir_h2,1
10,0.015,1,10,gic_vol_050,neural_ode_h2,0
10,0.015,1,10,ogic_e,tv_sir,0
10,0.015,1,11,aic,tv_sir,0
10,0.015,1,11,bic,tv_sir,0
10,0.015,1,11,gic_eff,ude_sir_h2,1
10,0.015,1,11,gic_vol_050,neural_ode_h2,0
10,0.015,1,11,ogic_e,tv_sir,0
10,0.015,1,12,aic,tv_sir,0
10,0.015,1,12,bic,tv_sir,0
10,0.015,1,12,gic_eff,tv_sir,0
10,0.015,1,12,gic_vol_050,neural_ode_h2,0
10,0.015,1,12,ogic_e,tv_sir,0
10,0.015,1,13,aic,tv_sir,0
10,0.015,1,13,bic,tv_sir,0
10,0.015,1,13,gic_eff,ude_sir_h2,1
