schema_version,protocol_hash,status,scenario,candidate,truth,seed,draws,waic_laplace,p_waic
2.0,142e8459c2c2ed71,ok,missing_neural_feedback,sir,ude_sir_h2,5,512,-40.39543688601883,11.93573225128281
2.0,f8eabc4eabce899a,ok,missing_neural_feedback,sir,ude_sir_h2,6,512,25.346435829850726,16.83321997275331
2.0,62dd5c56fc6988c2,ok,missing_neural_feedback,sir,ude_sir_h2,7,512,21.00715444834796,14.247108817424095
2.0,3f2a097a649c5b9a,ok,missing_neural_feedback,sir,ude_sir_h2,8,512,2.766981852012263,14.48898802055941
2.0,4f6db8024bd582ad,ok,missing_neural_feedback,sir,ude_sir_h2,9,512,-72.71749164116605,9.714680327499991
2.0,b9628223a332afca,ok,missing_neural_feedback,sir,ude_sir_h2,10,512,-33.73548049407011,12.037560715007595
2.0,0dabecef86826bb6,ok,missing_neural_feedback,sir,ude_sir_h2,11,512,-49.990593056942814,10.818125824657578
2.0,555aa009245e94f6,ok,missing_neural_feedback,sir,ude_sir_h2,12,512,-4.814083137941859,13.972926170871876
2.0,8c645bcfa693a59f,ok,missing_neural_feedback,sir,ude_sir_h2,13,512,-8.73299100854645,14.956760499022213
2.0,e88d4c7e9d1951bd,ok,missing_neural_feedback,sir,ude_sir_h2,14,512,-58.30590441289214,10.262786353500044
2.0,217bad8642d0d17a,ok,missing_neural_feedback,sir,ude_sir_h2,15,512,-67.13065231577825,9.490530114325605
2.0,c6eafb5091087c80,ok,missing_neural_feedback,sir,ude_sir_h2,16,512,-12.031122227958608,12.899711406517953
2.0,f3ef2a2b97343d50,ok,missing_neural_feedback,sir,ude_sir_h2,17,512,-48.93777728921097,13.516783400437479
2.0,25b3fa0770864f7a,ok,missing_neural_feedback,sir,ude_sir_h2,18,512,-58.633737568265786,11.794399430406036
2.0,0fe515ecd7b371a6,ok,missing_neural_feedback,sir,ude_sir_h2,19,512,-69.84897613498946,9.044690611501736
2.0,ebd4589a786b5991,ok,missing_neural_feedback,tv_sir,ude_sir_h2,0,512,-196.76524416353357,4.3495105941884695
2.0,601d225ac88c94d6,ok,missing_neural_feedback,tv_sir,ude_sir_h2,1,512,-205.67781566285686,3.2492144499140676
2.0,84472e1c2c3354b9,ok,missing_neural_feedback,tv_sir,ude_sir_h2,2,512,-204.14992239604413,3.5012290958165093
2.0,9c4fd9fb792898ad,ok,missing_neural_feedback,tv_sir,ude_sir_h2,3,512,-186.46275306182196,5.221238043820909
2.0,006531b5f87d52a8,ok,missing_neural_feedback,tv_sir,ude_sir_h2,4,512,-189.92632198436877,4.726172877548603
2.0,05085ec67b442965,ok,missing_neural_feedback,tv_sir,ude_sir_h2,5,512,-193.37400770294937,4.763894584701488
2.0,91a91b3c73fea3cf,ok,missing_neural_feedback,tv_sir,ude_sir_h2,6,512,-203.90719372372476,3.067375805829635
2.0,b208688c848ee5e6,ok,missing_neural_feedback,tv_sir,ude_sir_h2,7,512,-192.02147310904505,4.333620432938636
2.0,ae71b303fa331926,ok,missing_neural_feedback,tv_sir,ude_sir_h2,8,512,-190.18953744078703,4.197765854300624
2.0,7308579816bfa75b,ok,missing_neural_feedback,tv_sir,ude_sir_h2,9,512,-199.39905365186837,3.5651968517784205
2.0,edbee7602fbf9e56,ok,missing_neural_feedback,tv_sir,ude_sir_h2,10,512,-206.65856524887857,3.171431891098966
2.0,6b70441f4e9ec73f,ok,missing_neural_feedback,tv_sir,ude_sir_h2,11,512,-200.6213097206707,3.5512727938917767
2.0,9798aef0e42b9289,ok,missing_neural_feedback,tv_sir,ude_sir_h2,12,512,-193.92435134443937,4.017835937525723
2.0,b6ec2baa9a88dbb2,ok,missing_neural_feedback,tv_sir,ude_sir_h2,13,512,-203.3984746114514,3.6011811847162623
2.0,ce77b95ac817c532,ok,missing_neural_feedback,tv_sir,ude_sir_h2,14,512,-212.56867206721296,2.348719053186391
2.0,b64c8379dce82b5b,ok,missing_neural_feedback,tv_sir,ude_sir_h2,15,512,-216.36602979432934,1.916377453938205
2.0,9237ffc80ebdfb24,ok,missing_neural_feedback,tv_sir,ude_sir_h2,16,512,-192.34987612952327,5.014063110075323
2.0,e916bde32b4c0877,ok,missing_neural_feedback,tv_sir,ude_sir_h2,17,512,-210.31834639605836,3.053925954739613
2.0,22c93e38c653e7b1,ok,missing_neural_feedback,tv_sir,ude_sir_h2,18,512,-190.78466050026196,4.856278500885997
2.0,3a00322dda3ca8c2,ok,missing_neural_feedback,tv_sir,ude_sir_h2,19,512,-211.62054937072685,2.3398546062209484
2.0,e0b04674a3aaa2f3,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,0,512,42251.898704148276,21203.542206598504
2.0,17bf8b421ed32072,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,1,512,24740.533959241788,12449.934860537269
2.0,368a3cba7d13ac59,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,2,512,26685.385769801615,13420.707559769085
2.0,ce2f27330a819646,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,3,512,28350.337931019254,14254.284761817886
2.0,cc86bade8af95f79,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,4,512,41202.48696396353,20674.95053497955
2.0,77fb2bc44563da92,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,5,512,25013.96099675064,12586.371755297176
2.0,8e38cc6a16b634ee,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,6,512,37119.91839359423,18637.281354557563
2.0,3d0c9f45b254d76b,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,7,512,30005.427706334776,15076.45648111169
2.0,718d511d82dcdb28,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,8,512,32633.142218988323,16389.54752128032
2.0,d8908d75aaa96f73,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,9,512,25626.235695570645,12888.7932033441
2.0,451f5a86039ec9e4,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,10,512,23010.30107127942,11585.762006963952
2.0,ac866e21ec96c920,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,11,512,36550.64848119473,18348.78130141143
2.0,5b1ba8b1ba9adae6,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,12,512,36049.69029955591,18101.13628945142
2.0,ce049ab4728e149f,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,13,512,45637.51480258351,22894.552434251396
2.0,4d49682b4e7a202c,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,14,512,25467.234525768516,12811.984432145156
2.0,7c9adf7d60c5c71f,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,15,512,22129.489215575722,11146.904829995472
