study,seed,criterion,truth,selected,correct,selection_gap,support_entropy
biochemical_ude,10,gic_pred,ude_mm,ude_mm,1,8.917098064378223,0.08013195491681728
biochemical_ude,10,gic_evid,ude_mm,ude_mm,1,6.500673517048227,0.16111340484859513
biochemical_ude,10,gic_eff_logn,ude_mm,ude_mm,1,9.697765197410604,0.08220818772412025
biochemical_ude,11,aic,ude_mm,neural_rate,0,2.5329950211401524,0.6463609917447493
biochemical_ude,11,aicc,ude_mm,mm,0,5.7944217039167825,0.26279805043983845
biochemical_ude,11,bic,ude_mm,mm,0,5.999135752937235,0.34392391524798493
biochemical_ude,11,gic_pred,ude_mm,neural_rate,0,3.5287417847501956,0.4298920371979297
biochemical_ude,11,gic_evid,ude_mm,ude_mm,1,4.321489846818793,0.33742919938476884
biochemical_ude,11,gic_eff_logn,ude_mm,neural_rate,0,2.7006533593691984,0.5435583927086662
biochemical_ude,12,aic,ude_mm,mm,0,4.099185619125279,0.3687448322477087
biochemical_ude,12,aicc,ude_mm,mm,0,4.696588216527886,0.29608470838795903
biochemical_ude,12,bic,ude_mm,mm,0,5.318061443993457,0.24195606410883616
biochemical_ude,12,gic_pred,ude_mm,ude_mm,1,0.43511282426146636,1.1938857030430507
biochemical_ude,12,gic_evid,ude_mm,mm,0,0.7968956529243769,0.7192979683042842
biochemical_ude,12,gic_eff_logn,ude_mm,mm,0,0.3644373927810136,1.107045168580836
biochemical_ude,13,aic,ude_mm,mm,0,2.5551757237615504,0.5255857778804325
biochemical_ude,13,aicc,ude_mm,mm,0,3.1525783211641567,0.4579774415854528
biochemical_ude,13,bic,ude_mm,mm,0,3.7740515486297284,0.3894003561845754
biochemical_ude,13,gic_pred,ude_mm,mm,0,0.37778280755128435,1.097934233270826
biochemical_ude,13,gic_evid,ude_mm,mm,0,0.5920893138922452,0.7634141176838101
biochemical_ude,13,gic_eff_logn,ude_mm,mm,0,0.6413277198920753,1.0806318345339645
biochemical_ude,14,aic,ude_mm,mm,0,5.302761881534053,0.3075340286915168
biochemical_ude,14,aicc,ude_mm,mm,0,5.900164478936659,0.19785621942042775
biochemical_ude,14,bic,ude_mm,mm,0,6.521637706402231,0.15895620819999026
biochemical_ude,14,gic_pred,ude_mm,ude_mm,1,6.184787347787676,0.3130503167238443
biochemical_ude,14,gic_evid,ude_mm,ude_mm,1,2.143814140612335,0.5792319493005172
biochemical_ude,14,gic_eff_logn,ude_mm,ude_mm,1,4.756353668115736,0.41311439686687884
biochemical_ude,15,aic,ude_mm,mm,0,4.397542489188737,0.567293681946623
biochemical_ude,15,aicc,ude_mm,mm,0,5.613571687261754,0.2186938006538965
biochemical_ude,15,bic,ude_mm,mm,0,6.2350449147273395,0.17965705227805118
biochemical_ude,15,gic_pred,ude_mm,ude_mm,1,10.719522475604464,0.05054297331270911
biochemical_ude,15,gic_evid,ude_mm,ude_mm,1,4.777759878711919,0.2932471449610455
biochemical_ude,15,gic_eff_logn,ude_mm,ude_mm,1,8.962552566064915,0.08563404487588835
biochemical_ude,16,aic,ude_mm,mm,0,4.918726483109651,0.3513050031222389
biochemical_ude,16,aicc,ude_mm,mm,0,5.516129080512258,0.2261605084131068
biochemical_ude,16,bic,ude_mm,mm,0,6.137602307977829,0.18288180313799263
biochemical_ude,16,gic_pred,ude_mm,ude_mm,1,6.078768596794248,0.3795901698886594
biochemical_ude,16,gic_evid,ude_mm,ude_mm,1,1.6436398624165065,0.6312626683767191
biochemical_ude,16,gic_eff_logn,ude_mm,ude_mm,1,4.543173103276814,0.48600373686936965
biochemical_ude,17,aic,ude_mm,mm,0,4.115447819160551,0.3645431373174159
biochemical_ude,17,aicc,ude_mm,mm,0,4.712850416563157,0.29452528859020416
biochemical_ude,17,bic,ude_mm,mm,0,5.3343236440287285,0.24050306855125012
biochemical_ude,17,gic_pred,ude_mm,ude_mm,1,2.073648912485595,0.8850052121238461
biochemical_ude,17,gic_evid,ude_mm,mm,0,0.4389121449745659,0.7256800748511227
biochemical_ude,17,gic_eff_logn,ude_mm,ude_mm,1,0.8458101097337476,0.9744387510112409
biochemical_ude,18,aic,ude_mm,mm,0,3.9692899742096586,0.37540615402001576
biochemical_ude,18,aicc,ude_mm,mm,0,4.566692571612265,0.30833510982683
biochemical_ude,18,bic,ude_mm,mm,0,5.1881657990778365,0.2525107992561144
biochemical_ude,18,gic_pred,ude_mm,ude_mm,1,0.5843160112463011,1.0820258597877275
biochemical_ude,18,gic_evid,ude_mm,mm,0,0.7576544361780861,0.7211046936429142
biochemical_ude,18,gic_eff_logn,ude_mm,mm,0,0.2978590407185493,1.0502258090337635
biochemical_ude,19,aic,ude_mm,mm,0,4.063890392393432,0.37379543991664393
biochemical_ude,19,aicc,ude_mm,mm,0,4.6612929897960385,0.2993874161431464
biochemical_ude,19,bic,ude_mm,mm,0,5.28276621726161,0.24482768623701764
biochemical_ude,19,gic_pred,ude_mm,ude_mm,1,1.6093562045698775,1.0525958053342206
biochemical_ude,19,gic_evid,ude_mm,mm,0,0.4056206966812965,0.7263376995809097
biochemical_ude,19,gic_eff_logn,ude_mm,ude_mm,1,0.4836792915945409,1.0691989915437976
biochemical_ude,20,aic,ude_mm,mm,0,4.350870502687457,0.3357077080287208
biochemical_ude,20,aicc,ude_mm,mm,0,4.948273100090063,0.2731044336268925
biochemical_ude,20,bic,ude_mm,mm,0,5.5697463275556345,0.22191005752230739
biochemical_ude,20,gic_pred,ude_mm,ude_mm,1,1.7736171784468695,0.8623305952324413
biochemical_ude,20,gic_evid,ude_mm,mm,0,0.12798849579652938,0.7261166562710395
biochemical_ude,20,gic_eff_logn,ude_mm,ude_mm,1,0.8946740922620506,0.9263219754785235
biochemical_ude,21,aic,ude_mm,mm,0,2.729432702594977,0.5069543935128467
biochemical_ude,21,aicc,ude_mm,mm,0,3.326835299997583,0.43851779330934404
biochemical_ude,21,bic,ude_mm,mm,0,3.948308527463155,0.370803440726242
biochemical_ude,21,gic_pred,ude_mm,mm,0,0.3276414419756293,1.1065645794132202
biochemical_ude,21,gic_evid,ude_mm,mm,0,0.5881602061807882,0.7583898944108113
biochemical_ude,21,gic_eff_logn,ude_mm,mm,0,0.5978748445829467,1.0797667423427262
