scenario,seed,criterion,interpretation,candidate,weight
early_seir_infected_only,26,gic_evid,equal_prior_posterior_approximation,tv_sir,0.01931073905728409
early_seir_infected_only,26,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2529633360155034
early_seir_infected_only,27,gic_pred,predictive_support,neural_ode_h2,0.13075564670562295
early_seir_infected_only,27,gic_pred,predictive_support,seir,0.24937697535910985
early_seir_infected_only,27,gic_pred,predictive_support,sir,0.2060533828943174
early_seir_infected_only,27,gic_pred,predictive_support,tv_sir,0.18003493946383875
early_seir_infected_only,27,gic_pred,predictive_support,ude_sir_h2,0.23377905557711093
early_seir_infected_only,27,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,5.295519821414285e-06
early_seir_infected_only,27,gic_evid,equal_prior_posterior_approximation,seir,0.5300626112079917
early_seir_infected_only,27,gic_evid,equal_prior_posterior_approximation,sir,0.25744534514706696
early_seir_infected_only,27,gic_evid,equal_prior_posterior_approximation,tv_sir,0.05044499154233746
early_seir_infected_only,27,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.1620417565827824
early_seir_infected_only,28,gic_pred,predictive_support,neural_ode_h2,0.07873309405344198
early_seir_infected_only,28,gic_pred,predictive_support,seir,0.33303488192543584
early_seir_infected_only,28,gic_pred,predictive_support,sir,0.24594652246923993
early_seir_infected_only,28,gic_pred,predictive_support,tv_sir,0.10224314821106505
early_seir_infected_only,28,gic_pred,predictive_support,ude_sir_h2,0.24004235334081722
early_seir_infected_only,28,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.8867703928883946e-06
early_seir_infected_only,28,gic_evid,equal_prior_posterior_approximation,seir,0.5568090509069883
early_seir_infected_only,28,gic_evid,equal_prior_posterior_approximation,sir,0.25440360291815545
early_seir_infected_only,28,gic_evid,equal_prior_posterior_approximation,tv_sir,0.024538101000328567
early_seir_infected_only,28,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.16424635840413496
early_seir_infected_only,29,gic_pred,predictive_support,neural_ode_h2,0.05812732983134281
early_seir_infected_only,29,gic_pred,predictive_support,seir,0.25067946611661546
early_seir_infected_only,29,gic_pred,predictive_support,sir,0.04209386652427827
early_seir_infected_only,29,gic_pred,predictive_support,tv_sir,0.5338012585675275
early_seir_infected_only,29,gic_pred,predictive_support,ude_sir_h2,0.11529807896023606
early_seir_infected_only,29,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.4315951517065018e-06
early_seir_infected_only,29,gic_evid,equal_prior_posterior_approximation,seir,0.7375788268816756
early_seir_infected_only,29,gic_evid,equal_prior_posterior_approximation,sir,0.09764292376720908
early_seir_infected_only,29,gic_evid,equal_prior_posterior_approximation,tv_sir,0.10927980097748212
early_seir_infected_only,29,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.05549701677848142
early_seir_infected_only,30,gic_pred,predictive_support,neural_ode_h2,0.11909945920801372
early_seir_infected_only,30,gic_pred,predictive_support,seir,0.30990925390090246
early_seir_infected_only,30,gic_pred,predictive_support,sir,0.07784568038870739
early_seir_infected_only,30,gic_pred,predictive_support,tv_sir,0.19251755609858276
early_seir_infected_only,30,gic_pred,predictive_support,ude_sir_h2,0.3006280504037936
early_seir_infected_only,30,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.2287511060157337e-06
early_seir_infected_only,30,gic_evid,equal_prior_posterior_approximation,seir,0.7147310095653602
early_seir_infected_only,30,gic_evid,equal_prior_posterior_approximation,sir,0.12247669334020263
early_seir_infected_only,30,gic_evid,equal_prior_posterior_approximation,tv_sir,0.07986382790803086
early_seir_infected_only,30,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.08292624043530032
early_seir_infected_only,31,gic_pred,predictive_support,neural_ode_h2,0.034198454856555385
early_seir_infected_only,31,gic_pred,predictive_support,seir,0.2654252685284161
early_seir_infected_only,31,gic_pred,predictive_support,sir,0.29839010085358386
early_seir_infected_only,31,gic_pred,predictive_support,tv_sir,0.10399916043305693
early_seir_infected_only,31,gic_pred,predictive_support,ude_sir_h2,0.2979870153283877
early_seir_infected_only,31,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.295613952288103e-06
early_seir_infected_only,31,gic_evid,equal_prior_posterior_approximation,seir,0.374671440369121
early_seir_infected_only,31,gic_evid,equal_prior_posterior_approximation,sir,0.3056759415763258
early_seir_infected_only,31,gic_evid,equal_prior_posterior_approximation,tv_sir,0.02091087812805062
early_seir_infected_only,31,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2987394443125504
early_seir_infected_only,32,gic_pred,predictive_support,neural_ode_h2,0.03825520608784594
early_seir_infected_only,32,gic_pred,predictive_support,seir,0.38622766023453375
