scenario,seed,criterion,truth,selected,correct,selection_gap,support_entropy
regular_sir_full,21,aic,sir,tv_sir,0,0.3191446819907924,0.7029579016589705
regular_sir_full,21,aicc,sir,sir,1,0.025803053200888826,0.6961399509443601
regular_sir_full,21,bic,sir,sir,1,4.612671555318457,0.30392378042961066
regular_sir_full,21,gic_pred,sir,ude_sir_h2,0,0.9463842312480892,1.1953517411677599
regular_sir_full,21,gic_evid,sir,sir,1,6.194276869538044,0.2237174131831641
regular_sir_full,21,gic_eff_logn,sir,sir,1,4.5694252052684305,0.5011178382692864
regular_sir_full,22,aic,sir,sir,1,1.396146037523181,0.6376796970779762
regular_sir_full,22,aicc,sir,sir,1,1.741093772714862,0.6071373386842797
regular_sir_full,22,bic,sir,sir,1,6.32796227483243,0.1696689619925579
regular_sir_full,22,gic_pred,sir,sir,1,0.4490022561379874,1.0617891787455094
regular_sir_full,22,gic_evid,sir,sir,1,3.1827303112377194,0.4743120289237762
regular_sir_full,22,gic_eff_logn,sir,sir,1,3.414573407971943,0.5662821487442219
regular_sir_full,23,aic,sir,sir,1,2.221129022696232,0.5654401665735892
regular_sir_full,23,aicc,sir,sir,1,2.566076757887913,0.524435819717833
regular_sir_full,23,bic,sir,sir,1,7.152945260005481,0.12491667298795936
regular_sir_full,23,gic_pred,sir,sir,1,0.8806411816741502,1.0100162653218807
regular_sir_full,23,gic_evid,sir,sir,1,6.913078343895222,0.15344573006827253
regular_sir_full,23,gic_eff_logn,sir,sir,1,7.04314984676364,0.25096553825211093
regular_sir_full,24,aic,sir,sir,1,3.7486708218172,0.3932858927293978
regular_sir_full,24,aicc,sir,sir,1,4.093618557008881,0.35582359195135865
regular_sir_full,24,bic,sir,sir,1,8.680487059126449,0.06878933914788675
regular_sir_full,24,gic_pred,sir,sir,1,2.6063204480900595,0.8060578343410068
regular_sir_full,24,gic_evid,sir,sir,1,6.109902335323227,0.191902839615233
regular_sir_full,24,gic_eff_logn,sir,sir,1,6.109788776915252,0.24871855751625968
regular_sir_full,25,aic,sir,sir,1,2.759930637251614,0.5051884401309005
regular_sir_full,25,aicc,sir,sir,1,3.104878372443295,0.46409175944213477
regular_sir_full,25,bic,sir,sir,1,7.691746874560863,0.10160116185709954
regular_sir_full,25,gic_pred,sir,sir,1,2.3055512706106356,0.9046035265075412
regular_sir_full,25,gic_evid,sir,sir,1,8.88433970980708,0.07666943936564628
regular_sir_full,25,gic_eff_logn,sir,sir,1,7.64813949719894,0.1705211176488633
regular_sir_full,26,aic,sir,sir,1,2.422251689703444,0.5407001319946348
regular_sir_full,26,aicc,sir,sir,1,2.767199424895125,0.5014627349286719
regular_sir_full,26,bic,sir,sir,1,7.354067927012693,0.11570934352456128
regular_sir_full,26,gic_pred,sir,sir,1,2.403174120044696,0.8431358059636752
regular_sir_full,26,gic_evid,sir,sir,1,10.39699201191388,0.04917234759219989
regular_sir_full,26,gic_eff_logn,sir,sir,1,7.311468590400864,0.15797745124388646
regular_sir_full,27,aic,sir,sir,1,3.8056482146890858,0.38715739745073263
regular_sir_full,27,aicc,sir,sir,1,4.150595949880767,0.3499438055519217
regular_sir_full,27,bic,sir,sir,1,8.737464451998335,0.06723553205441087
regular_sir_full,27,gic_pred,sir,sir,1,1.7898876758509914,0.8615930768798272
regular_sir_full,27,gic_evid,sir,sir,1,3.775345492133397,0.39647161310330614
regular_sir_full,27,gic_eff_logn,sir,sir,1,4.3052687177679445,0.392770217767816
regular_sir_full,28,aic,sir,sir,1,3.673681846715567,0.4013344121110125
regular_sir_full,28,aicc,sir,sir,1,4.018629581907248,0.3636183487275088
regular_sir_full,28,bic,sir,sir,1,8.605498084024816,0.0708851494119463
regular_sir_full,28,gic_pred,sir,sir,1,1.9711873890478273,0.8593738166953921
regular_sir_full,28,gic_evid,sir,sir,1,3.489496034817307,0.4279026949773705
regular_sir_full,28,gic_eff_logn,sir,sir,1,4.4918328342400855,0.37817912021243594
regular_sir_full,29,aic,sir,sir,1,3.2059310879976692,0.45355319064365524
regular_sir_full,29,aicc,sir,sir,1,3.5508788231893504,0.41404863809838544
regular_sir_full,29,bic,sir,sir,1,8.137747325306918,0.08534691816361846
regular_sir_full,29,gic_pred,sir,sir,1,2.361536189846902,0.8668134980518282
regular_sir_full,29,gic_evid,sir,sir,1,7.2312678491269935,0.1319605740195613
regular_sir_full,29,gic_eff_logn,sir,sir,1,6.473430819990995,0.24247525826978028
regular_sir_full,30,aic,sir,sir,1,3.529338539239461,0.41831918263854007
regular_sir_full,30,aicc,sir,sir,1,3.8742862744311424,0.3791447554292654
regular_sir_full,30,bic,sir,sir,1,8.46115477654871,0.07508675286385433
regular_sir_full,30,gic_pred,sir,sir,1,3.2058298248566643,0.7736077309317619
regular_sir_full,30,gic_evid,sir,sir,1,9.03759052948135,0.06886430038090441
regular_sir_full,30,gic_eff_logn,sir,sir,1,8.418852595408339,0.12806731699398222
regular_sir_full,31,aic,sir,sir,1,3.8512931062107327,0.38214722672116597
regular_sir_full,31,aicc,sir,sir,1,4.196240841402414,0.3452400528839774
regular_sir_full,31,bic,sir,sir,1,8.783109343519982,0.06601436704212515
regular_sir_full,31,gic_pred,sir,sir,1,1.738036258134457,0.8616766254060513
regular_sir_full,31,gic_evid,sir,sir,1,2.0498362551913942,0.58314862852131
regular_sir_full,31,gic_eff_logn,sir,sir,1,3.8885879411914175,0.43327974019894944
regular_sir_full,32,aic,sir,sir,1,2.2535131603078753,0.5583777991511967
regular_sir_full,32,aicc,sir,sir,1,2.5984608954995565,0.5200194741108876
regular_sir_full,32,bic,sir,sir,1,7.185329397617124,0.12339170097957922
regular_sir_full,32,gic_pred,sir,sir,1,0.5894556175906018,1.010957254756431
regular_sir_full,32,gic_evid,sir,sir,1,3.401447135386661,0.4440883470929903
regular_sir_full,32,gic_eff_logn,sir,sir,1,3.3212448827800927,0.5388523963943843
regular_sir_full,33,aic,sir,sir,1,2.4144855964598264,0.5414576838940554
regular_sir_full,33,aicc,sir,sir,1,2.7594333316515076,0.5023064052883225
