scenario,truth,candidate,seed,training_deviance,mean_new_deviance,mc_se_new_deviance,empirical_optimism,predicted_optimism,calibration_residual,effective_dimension,new_response_draws
noisy_sir_overfit_risk,sir,tv_sir,61,-77.67412786090173,-89.06574743147367,0.525676067771725,-11.391619570571933,6.063597228168093,-17.455216798740025,3.0317986140840465,200
noisy_sir_overfit_risk,sir,tv_sir,62,-93.47434509238069,-85.42214797394413,0.6732100210937823,8.052197118436553,6.026944063765486,2.025253054671067,3.013472031882743,200
noisy_sir_overfit_risk,sir,tv_sir,63,-92.82893572809846,-85.77777063413501,0.6275273922862515,7.051165093963448,6.064929971209023,0.986235122754425,3.0324649856045114,200
noisy_sir_overfit_risk,sir,tv_sir,64,-101.68048603055198,-91.43574690669189,0.49929868980738856,10.244739123860086,5.985422456213263,4.259316667646822,2.9927112281066317,200
noisy_sir_overfit_risk,sir,tv_sir,65,-98.9082321696274,-90.52218128166096,0.5274491732124514,8.386050887966434,5.999721873590067,2.3863290143763667,2.9998609367950335,200
noisy_sir_overfit_risk,sir,tv_sir,66,-103.66816157630196,-84.70208300430072,0.6250870050802407,18.966078572001237,6.084569518959993,12.881509053041244,3.0422847594799967,200
noisy_sir_overfit_risk,sir,tv_sir,67,-93.53472450525143,-89.12701288481537,0.5342487767786264,4.407711620436061,6.091150635703647,-1.6834390152675862,3.0455753178518234,200
noisy_sir_overfit_risk,sir,tv_sir,68,-88.37974955561427,-89.06860260446143,0.5301004179702701,-0.6888530488471645,6.062393727526426,-6.75124677637359,3.031196863763213,200
noisy_sir_overfit_risk,sir,tv_sir,69,-103.70006630227996,-91.39663731418206,0.5483875450866174,12.303428988097906,6.060922069768948,6.242506918328958,3.030461034884474,200
noisy_sir_overfit_risk,sir,tv_sir,70,-87.16524116260456,-87.09034156275004,0.5803427183288836,0.07489959985451833,5.947838402600243,-5.8729388027457246,2.9739192013001214,200
noisy_sir_overfit_risk,sir,tv_sir,71,-98.06030420419987,-89.3808706794349,0.5392242366055114,8.67943352476496,6.092247936977125,2.587185587787835,3.0461239684885624,200
noisy_sir_overfit_risk,sir,tv_sir,72,-88.2914301845716,-91.96584388933081,0.5104083769469343,-3.6744137047592176,5.964339229252987,-9.638752934012205,2.9821696146264935,200
noisy_sir_overfit_risk,sir,tv_sir,73,-98.94794674009714,-89.27731572920749,0.5847095732064937,9.67063101088965,5.94132388445883,3.72930712643082,2.970661942229415,200
noisy_sir_overfit_risk,sir,tv_sir,74,-101.9344950229649,-90.54881363814859,0.5982557491278746,11.385681384816309,5.969186526152107,5.416494858664201,2.9845932630760537,200
noisy_sir_overfit_risk,sir,tv_sir,75,-89.0749844362267,-88.53360515702714,0.56395350201305,0.5413792791995604,5.952072067053784,-5.410692787854224,2.976036033526892,200
noisy_sir_overfit_risk,sir,tv_sir,76,-103.76757220334854,-90.9225243454114,0.5614386962401892,12.845047857937132,5.982102882722296,6.862944975214836,2.991051441361148,200
noisy_sir_overfit_risk,sir,tv_sir,77,-104.66682542236298,-81.6336722483971,0.6529816765120289,23.03315317396587,5.90528775899304,17.12786541497283,2.95264387949652,200
noisy_sir_overfit_risk,sir,tv_sir,78,-102.187357629123,-86.81526883013419,0.644231292311283,15.372088798988813,6.030975039447947,9.341113759540866,3.0154875197239734,200
noisy_sir_overfit_risk,sir,tv_sir,79,-90.5397659842023,-90.70478425073561,0.6150355820669771,-0.1650182665333091,6.040358712487997,-6.205376979021306,3.0201793562439985,200
noisy_sir_overfit_risk,sir,ude_sir_h2,0,-92.86487123773372,-87.11968559797235,0.5638573874498161,5.745185639761374,5.854602519578346,-0.10941687981697257,2.927301259789173,200
noisy_sir_overfit_risk,sir,ude_sir_h2,1,-81.55112166311585,-91.72796564882819,0.5169379580162906,-10.176843985712338,5.546436088533069,-15.723280074245407,2.7732180442665344,200
noisy_sir_overfit_risk,sir,ude_sir_h2,2,-108.41469680325915,-84.89248745014147,0.5953884184556635,23.522209353117674,5.85420289085552,17.668006462262156,2.92710144542776,200
noisy_sir_overfit_risk,sir,ude_sir_h2,3,-91.31915632541111,-91.38122160132342,0.5520459832064993,-0.062065275912303264,4.999218625371019,-5.061283901283322,2.4996093126855095,200
noisy_sir_overfit_risk,sir,ude_sir_h2,4,-88.78038043572404,-90.49528064655811,0.563707501710401,-1.7149002108340738,5.398717169927181,-7.113617380761255,2.6993585849635906,200
noisy_sir_overfit_risk,sir,ude_sir_h2,5,-100.54573343606893,-90.1184526860412,0.574876777660763,10.427280750027734,5.034555457353029,5.3927252926747045,2.5172777286765147,200
noisy_sir_overfit_risk,sir,ude_sir_h2,6,-101.598717125214,-91.29245142002785,0.5109271233590273,10.30626570518615,5.530013316436062,4.776252388750088,2.765006658218031,200
noisy_sir_overfit_risk,sir,ude_sir_h2,7,-97.99143451325483,-88.17671038362523,0.5665300952562807,9.814724129629596,5.748375940487278,4.066348189142318,2.874187970243639,200
noisy_sir_overfit_risk,sir,ude_sir_h2,8,-78.37969452660556,-87.6316886518419,0.6290655623332887,-9.251994125236337,5.60688374988833,-14.858877875124666,2.803441874944165,200
noisy_sir_overfit_risk,sir,ude_sir_h2,9,-101.54298330593652,-90.17018875039861,0.5421045057710422,11.372794555537908,5.7148081704689,5.657986385069008,2.85740408523445,200
noisy_sir_overfit_risk,sir,ude_sir_h2,10,-100.47491557668246,-88.71960064812345,0.5869515270900145,11.755314928559017,5.195388031214001,6.559926897345016,2.5976940156070003,200
noisy_sir_overfit_risk,sir,ude_sir_h2,11,-99.52053683173233,-87.09291577458734,0.60342475931317,12.42762105714499,5.938945716938122,6.488675340206868,2.969472858469061,200
noisy_sir_overfit_risk,sir,ude_sir_h2,12,-85.2832524124959,-91.19449362198716,0.5454277350112675,-5.911241209491266,5.485349202586712,-11.396590412077977,2.742674601293356,200
noisy_sir_overfit_risk,sir,ude_sir_h2,13,-90.1798904899897,-89.17536755302248,0.5236870468334568,1.00452293696722,5.322140715264732,-4.317617778297512,2.661070357632366,200
noisy_sir_overfit_risk,sir,ude_sir_h2,14,-108.12163222443799,-85.10209983387111,0.5950461423464242,23.01953239056688,5.7343035953955175,17.285228795171363,2.8671517976977587,200
noisy_sir_overfit_risk,sir,ude_sir_h2,15,-82.63279313567797,-90.72874084390533,0.5214379040116969,-8.095947708227357,5.465330426424515,-13.561278134651872,2.7326652132122575,200
noisy_sir_overfit_risk,sir,ude_sir_h2,16,-91.12583277430141,-89.0503584279972,0.5913697454398368,2.075474346304219,5.791609689816703,-3.7161353435124838,2.8958048449083513,200
noisy_sir_overfit_risk,sir,ude_sir_h2,17,-97.97935006019964,-80.26402161570076,0.7355484896654061,17.71532844449888,5.769686678243268,11.945641766255612,2.884843339121634,200
noisy_sir_overfit_risk,sir,ude_sir_h2,18,-89.90472151400974,-88.83918179553844,0.5151091397549512,1.0655397184712996,4.6698516623132535,-3.604311943841954,2.3349258311566268,200
noisy_sir_overfit_risk,sir,ude_sir_h2,19,-98.46059790355108,-89.37114224810738,0.5908455192232989,9.0894556554437,5.527738202108643,3.5617174533350573,2.7638691010543215,200
noisy_sir_overfit_risk,sir,ude_sir_h2,20,-98.06311180064287,-85.6349371375547,0.6043546874279713,12.428174663088171,5.524449495403832,6.903725167684339,2.762224747701916,200
noisy_sir_overfit_risk,sir,ude_sir_h2,21,-98.40666514440564,-89.87699744166268,0.5491136934897676,8.529667702742955,5.5940926762554675,2.935575026487488,2.7970463381277337,200
noisy_sir_overfit_risk,sir,ude_sir_h2,22,-92.5584331703648,-91.52300820382854,0.5111699685104412,1.0354249665362545,5.231112016374068,-4.195687049837813,2.615556008187034,200
noisy_sir_overfit_risk,sir,ude_sir_h2,23,-98.21945794957587,-89.66831779117194,0.5777387757538709,8.551140158403925,3.994436719424529,4.556703438979396,1.9972183597122646,200
noisy_sir_overfit_risk,sir,ude_sir_h2,24,-103.59466235924968,-87.35732126691403,0.6490254400981007,16.237341092335654,3.993620531610275,12.243720560725379,1.9968102658051374,200
noisy_sir_overfit_risk,sir,ude_sir_h2,25,-79.14362874977655,-90.63217045340572,0.6074540727837395,-11.488541703629167,5.458739719183794,-16.94728142281296,2.729369859591897,200
noisy_sir_overfit_risk,sir,ude_sir_h2,26,-92.41498424599044,-87.70997933873448,0.5828793265523862,4.7050049072559545,3.9938165040170177,0.7111884032389368,1.9969082520085089,200
noisy_sir_overfit_risk,sir,ude_sir_h2,27,-79.8299309195782,-85.90570652890068,0.6219778172982136,-6.075775609322477,5.344162412760511,-11.419938022082988,2.6720812063802555,200
noisy_sir_overfit_risk,sir,ude_sir_h2,28,-92.92300362040467,-90.0844406927896,0.5791902455334337,2.8385629276150723,5.526528379330921,-2.687965451715849,2.7632641896654606,200
noisy_sir_overfit_risk,sir,ude_sir_h2,29,-93.5402490283952,-91.05871383162601,0.5434476363139148,2.4815351967691868,4.422105893162451,-1.940570696393264,2.2110529465812254,200
noisy_sir_overfit_risk,sir,ude_sir_h2,30,-91.45930918217056,-89.1301826110841,0.5639332975474395,2.329126571086462,5.644714321972604,-3.3155877508861415,2.822357160986302,200
noisy_sir_overfit_risk,sir,ude_sir_h2,31,-76.8963228806349,-89.18386588161451,0.5578388123054424,-12.28754300097961,5.514985830903687,-17.802528831883297,2.7574929154518437,200
noisy_sir_overfit_risk,sir,ude_sir_h2,32,-96.10352610048764,-90.39521036287759,0.558387588742215,5.70831573761005,5.813222062542751,-0.10490632493270091,2.9066110312713755,200
noisy_sir_overfit_risk,sir,ude_sir_h2,33,-99.23840378105822,-85.07834718742306,0.6529335113019947,14.160056593635161,5.651094351066933,8.508962242568227,2.8255471755334667,200
noisy_sir_overfit_risk,sir,ude_sir_h2,34,-97.47304467554397,-90.33902143413836,0.5147363730508957,7.134023241405615,5.536054836246342,1.5979684051592722,2.768027418123171,200
noisy_sir_overfit_risk,sir,ude_sir_h2,35,-89.47343218220456,-89.71306775847813,0.5399609238937236,-0.2396355762735709,5.779337962130121,-6.018973538403692,2.8896689810650606,200
noisy_sir_overfit_risk,sir,ude_sir_h2,36,-97.94945888586169,-84.62331627489759,0.6525148454230008,13.326142610964098,5.221231069394646,8.104911541569452,2.610615534697323,200
noisy_sir_overfit_risk,sir,ude_sir_h2,37,-95.12566985364654,-89.31219794973158,0.5599965125467353,5.813471903914959,5.712910855128867,0.10056104878609151,2.8564554275644336,200
noisy_sir_overfit_risk,sir,ude_sir_h2,38,-92.68079716810644,-91.58020266012961,0.4981783995818887,1.1005945079768225,5.572479449185145,-4.471884941208322,2.7862397245925723,200
noisy_sir_overfit_risk,sir,ude_sir_h2,39,-82.25552916983766,-86.07314038404292,0.6672915682230912,-3.8176112142052574,5.194159408154967,-9.011770622360224,2.5970797040774833,200
noisy_sir_overfit_risk,sir,ude_sir_h2,40,-102.3387676726658,-85.69233876221845,0.6676808865297694,16.64642891044734,5.552779213637228,11.093649696810113,2.776389606818614,200
noisy_sir_overfit_risk,sir,ude_sir_h2,41,-92.87822919810488,-87.70901113484435,0.6297443969520999,5.16921806326053,5.5037179672098935,-0.33449990394936346,2.7518589836049467,200
noisy_sir_overfit_risk,sir,ude_sir_h2,42,-90.43544728436396,-86.6699250458019,0.6077054905379228,3.765522238562056,6.028812835430759,-2.2632905968687025,3.0144064177153793,200
noisy_sir_overfit_risk,sir,ude_sir_h2,43,-94.09143110323183,-86.65078959964728,0.5903608662787744,7.440641503584544,6.1194468805753335,1.3211946230092106,3.0597234402876667,200
noisy_sir_overfit_risk,sir,ude_sir_h2,44,-85.96692827293467,-90.60546031785043,0.5263955993790185,-4.638532044915763,5.537150050512895,-10.175682095428659,2.7685750252564474,200
noisy_sir_overfit_risk,sir,ude_sir_h2,45,-98.31239106337073,-88.45818463055944,0.5357374877333643,9.854206432811282,5.781872541981662,4.072333890829619,2.890936270990831,200
noisy_sir_overfit_risk,sir,ude_sir_h2,46,-81.03958319448664,-91.20042103505854,0.5185992158962869,-10.1608378405719,5.542195957340831,-15.703033797912731,2.7710979786704155,200
noisy_sir_overfit_risk,sir,ude_sir_h2,47,-100.25155549824646,-90.47497526896113,0.607718434244819,9.77658022928533,5.4456760692974315,4.330904159987898,2.7228380346487158,200
noisy_sir_overfit_risk,sir,ude_sir_h2,48,-97.92596749559858,-90.2617575660775,0.576375383010169,7.664209929521078,3.9942420786849917,3.6699678508360867,1.9971210393424959,200
noisy_sir_overfit_risk,sir,ude_sir_h2,49,-107.32322675195388,-80.53576417515437,0.6589180013771704,26.787462576799513,5.758905877121157,21.028556699678354,2.8794529385605787,200
noisy_sir_overfit_risk,sir,ude_sir_h2,50,-100.60773222745583,-87.47485277176206,0.6015009988494305,13.132879455693768,5.594462532494694,7.538416923199074,2.797231266247347,200
noisy_sir_overfit_risk,sir,ude_sir_h2,51,-99.00390312489924,-89.15747253587138,0.5841357739172156,9.846430589027861,5.320000667983287,4.526429921044574,2.6600003339916434,200
noisy_sir_overfit_risk,sir,ude_sir_h2,52,-95.53685278646805,-90.28945630435769,0.5553466471171621,5.247396482110361,4.943235302139534,0.30416117997082637,2.471617651069767,200
noisy_sir_overfit_risk,sir,ude_sir_h2,53,-81.21016994601311,-90.0366915458025,0.6396322956241154,-8.826521599789388,5.51698311729006,-14.343504717079448,2.75849155864503,200
noisy_sir_overfit_risk,sir,ude_sir_h2,54,-96.63595431635513,-89.84541707159471,0.6187742036758564,6.790537244760415,5.693048000041686,1.0974892447187292,2.846524000020843,200
noisy_sir_overfit_risk,sir,ude_sir_h2,55,-84.6642204902133,-89.73809113764318,0.5544059078293753,-5.073870647429885,3.994443500500319,-9.068314147930204,1.9972217502501595,200
noisy_sir_overfit_risk,sir,ude_sir_h2,56,-94.65264323223535,-89.22615650750454,0.5344476979645334,5.4264867247308075,5.5479892462587275,-0.12150252152791996,2.7739946231293637,200
noisy_sir_overfit_risk,sir,ude_sir_h2,57,-85.3528108202448,-88.85850588943791,0.6080170336043583,-3.5056950691931092,5.3063518073047105,-8.81204687649782,2.6531759036523552,200
noisy_sir_overfit_risk,sir,ude_sir_h2,58,-92.20165947850438,-89.77729025635045,0.5469089227573162,2.4243692221539277,3.993923480573387,-1.5695542584194593,1.9969617402866935,200
noisy_sir_overfit_risk,sir,ude_sir_h2,59,-85.81462129864059,-88.70008548674159,0.5510446441200039,-2.885464188100997,5.715864555208965,-8.601328743309962,2.8579322776044824,200
noisy_sir_overfit_risk,sir,ude_sir_h2,60,-93.06784553687623,-87.96466078951217,0.5812803520490933,5.103184747364068,5.855333030630786,-0.7521482832667177,2.927666515315393,200
noisy_sir_overfit_risk,sir,ude_sir_h2,61,-77.4383156624585,-90.10750682655863,0.5426469724085762,-12.669191164100127,5.704499486891168,-18.373690650991293,2.852249743445584,200
noisy_sir_overfit_risk,sir,ude_sir_h2,62,-93.57547355202175,-85.22859853336007,0.6107368518242713,8.346875018661677,5.6218070654185555,2.725067953243122,2.8109035327092777,200
