status,scenario,truth,candidate,seed,dimension,draws,finite_draws,invalid_draws,importance_ess,relative_ess,maximum_normalized_weight,minus2_log_evidence_is,gic_evid,bic,gic_evid_error
ok,missing_time_varying_transmission,tv_sir,seir,7,3,512,512,0,150.58659444854118,0.294114442282307,0.011962752967889581,-133.40140558168216,-136.48948819280702,-144.86131774000435,-3.088082611124861
ok,missing_time_varying_transmission,tv_sir,seir,8,3,512,512,0,164.03147753364377,0.320373979557898,0.009691793219908247,-152.43266445224864,-155.27079048398514,-163.62971824366286,-2.8381260317364934
ok,missing_time_varying_transmission,tv_sir,seir,10,3,512,512,0,141.0804014841225,0.27554765914867674,0.010036259116166677,-148.03273858310817,-151.30877070362826,-159.69877398906917,-3.2760321205200853
ok,missing_time_varying_transmission,tv_sir,seir,9,3,512,512,0,137.82677740657294,0.2691929246222128,0.010703156734650275,-126.04320261532916,-129.4691199191143,-137.8778224843776,-3.425917303785127
ok,missing_time_varying_transmission,tv_sir,seir,11,3,512,512,0,148.30702661318074,0.28966216135386863,0.020130105315379284,-146.01360198108011,-148.98387745377667,-157.44308563623505,-2.9702754726965566
ok,missing_time_varying_transmission,tv_sir,seir,12,3,512,512,0,158.96528094562746,0.3104790643469286,0.014664338998861451,-164.22452201498737,-167.06714566333352,-175.4331787772111,-2.842623648346148
ok,missing_time_varying_transmission,tv_sir,seir,13,3,512,512,0,152.66806514480268,0.29817981473594274,0.03172323320882441,-151.15230204808464,-153.76008646483976,-162.2376697451886,-2.6077844167551234
ok,missing_time_varying_transmission,tv_sir,seir,14,3,512,512,0,149.62215730429182,0.29223077598494496,0.015228065407250368,-160.19483636754904,-163.32308222930988,-171.71264758751798,-3.1282458617608313
ok,missing_time_varying_transmission,tv_sir,seir,15,3,512,512,0,135.32512373722716,0.2643068822992718,0.010659010246299632,-146.644810413965,-150.0503502835579,-158.4377065447895,-3.4055398695929
ok,missing_time_varying_transmission,tv_sir,seir,16,3,512,512,0,161.88988367587143,0.3161911790544364,0.010802978411496971,-155.82223086585228,-158.6495460885919,-166.9974957339233,-2.827315222739628
ok,missing_time_varying_transmission,tv_sir,seir,17,3,512,512,0,145.4402845388507,0.2840630557399428,0.009443490719534847,-159.4657583689815,-162.62937178303986,-171.0660599231783,-3.1636134140583465
ok,missing_time_varying_transmission,tv_sir,seir,18,3,512,512,0,151.20094652843932,0.29531434868835804,0.011024035574388033,-137.21457064404245,-140.31027613604,-148.73792553898681,-3.095705491997535
ok,missing_time_varying_transmission,tv_sir,seir,19,3,512,512,0,141.08431369688515,0.2755553001892288,0.028487191426851775,-148.66044260107248,-151.7609759716076,-160.16160357017273,-3.1005333705351177
ok,missing_time_varying_transmission,tv_sir,sir,0,2,512,512,0,502.57532246468065,0.9815924266888294,0.0022079894381548675,-106.12760295028339,-106.37299019852682,-117.50259852330866,-0.24538724824343205
ok,missing_time_varying_transmission,tv_sir,sir,1,2,512,512,0,497.09553110039786,0.9708897091804646,0.002286554915145542,-27.90929152096647,-28.22468782135026,-39.370967489806446,-0.31539630038378874
ok,missing_time_varying_transmission,tv_sir,sir,2,2,512,512,0,498.4826546072328,0.9735989347797516,0.0022606939822664034,-45.03340463356736,-45.32604677818421,-56.44773573445383,-0.292642144616849
ok,missing_time_varying_transmission,tv_sir,sir,3,2,512,512,0,498.1319253987765,0.9729139167944854,0.00226594987843434,-32.32007700593352,-32.61721884401863,-43.74709874779535,-0.2971418380851105
ok,missing_time_varying_transmission,tv_sir,sir,4,2,512,512,0,501.15132326284765,0.9788111782477493,0.002232039531121222,-69.61694984174677,-69.88404194558188,-81.08970272563485,-0.26709210383511106
ok,missing_time_varying_transmission,tv_sir,sir,5,2,512,512,0,501.6035443464533,0.9796944225516666,0.0022146954806738246,-70.5214088032376,-70.77305824538408,-81.91782796542236,-0.2516494421464728
ok,missing_time_varying_transmission,tv_sir,sir,6,2,512,512,0,500.30340344792137,0.9771550848592214,0.0022391949104467704,-74.5032232786313,-74.777115737789,-85.94029182437995,-0.27389245915770744
ok,missing_time_varying_transmission,tv_sir,sir,7,2,512,512,0,499.50115926826754,0.975588201695835,0.0022504294575970353,-49.69532208035907,-49.978770788057794,-61.094946662348434,-0.28344870769872443
ok,missing_time_varying_transmission,tv_sir,sir,8,2,512,512,0,501.57316555349104,0.9796350889716622,0.002218389140160102,-81.76295211452074,-82.01770233454442,-93.13038701725156,-0.25475022002368064
ok,missing_time_varying_transmission,tv_sir,sir,9,2,512,512,0,496.7711311729144,0.9702561155720985,0.002289150251266999,-25.528652890154248,-25.84664446680778,-36.97638020994401,-0.31799157665353306
ok,missing_time_varying_transmission,tv_sir,sir,10,2,512,512,0,498.5861101590178,0.9738009964043316,0.0022664482715784836,-53.47633474406499,-53.77396967199398,-64.90621323607911,-0.29763492792898916
ok,missing_time_varying_transmission,tv_sir,sir,11,2,512,512,0,501.17062930368945,0.9788488853587685,0.002227455632342703,-71.61787195658967,-71.88095501658228,-83.06874582548005,-0.26308305999260995
ok,missing_time_varying_transmission,tv_sir,sir,13,2,512,512,0,501.46778559795854,0.9794292687460128,0.0022186439524642344,-83.18362775180906,-83.43921894018781,-94.55712979911607,-0.2555911883787587
ok,missing_time_varying_transmission,tv_sir,sir,12,2,512,512,0,501.82618384182393,0.9801292653160624,0.0022147252874344346,-95.4672546811091,-95.71874893679248,-106.84100876202544,-0.251494255683383
ok,missing_time_varying_transmission,tv_sir,sir,14,2,512,512,0,499.5510662914907,0.9756856763505678,0.0022445548908763937,-76.28512930750469,-76.56344484972037,-87.6855781375092,-0.27831554221567956
ok,missing_time_varying_transmission,tv_sir,sir,15,2,512,512,0,497.39242161000465,0.9714695734570403,0.00228127260795822,-48.41436727408675,-48.72527973491057,-59.85094450568275,-0.31091246082382185
ok,missing_time_varying_transmission,tv_sir,sir,16,2,512,512,0,501.4703399814409,0.9794342577762517,0.002218735199866837,-84.73596142664799,-84.99129982899032,-96.11869484775812,-0.25533840234233196
ok,missing_time_varying_transmission,tv_sir,sir,17,2,512,512,0,499.99687286002194,0.9765563923047303,0.002247836130744229,-73.21443810670712,-73.49570579254026,-84.64887603685267,-0.2812676858331429
ok,missing_time_varying_transmission,tv_sir,sir,18,2,512,512,0,499.4234470161185,0.9754364199533564,0.0022447942722290466,-55.32836587600779,-55.60678836860961,-66.7609561756095,-0.2784224926018197
ok,missing_time_varying_transmission,tv_sir,sir,19,2,512,512,0,499.59026838033526,0.9757622429303423,0.002247564062060436,-65.35144680497675,-65.63259561367673,-76.76789269010638,-0.2811488086999816
ok,missing_time_varying_transmission,tv_sir,tv_sir,0,4,512,512,0,460.41215467821127,0.8992424896058814,0.007513945480821835,-189.87275321282036,-189.81771980698397,-200.96918212234874,0.055033405836383054
ok,missing_time_varying_transmission,tv_sir,tv_sir,1,4,512,512,0,467.23254756035243,0.9125635694538133,0.008033031957637288,-186.16364189667502,-186.1175934158782,-197.48520377937126,0.04604848079682711
ok,missing_time_varying_transmission,tv_sir,tv_sir,2,4,512,512,0,448.361327734176,0.8757057182308124,0.010944647476935835,-185.85573633535842,-185.89125910771165,-197.1715671196146,-0.03552277235323231
ok,missing_time_varying_transmission,tv_sir,tv_sir,3,4,512,512,0,306.37561145371984,0.5983898661205466,0.03512953769959696,-171.72346027928546,-171.5830711189484,-183.14654135849506,0.14038916033706528
ok,missing_time_varying_transmission,tv_sir,tv_sir,4,4,512,512,0,465.34339810524733,0.9088738244243112,0.006517313246105722,-176.36889547585335,-176.30806550814265,-187.69707980024376,0.060829967710702704
ok,missing_time_varying_transmission,tv_sir,tv_sir,5,4,512,512,0,447.90192132969435,0.8748084400970593,0.01115337350108033,-177.5655989820811,-177.65957552861207,-189.20901623683255,-0.09397654653096765
ok,missing_time_varying_transmission,tv_sir,tv_sir,6,4,512,512,0,419.2416233001451,0.8188312955080959,0.014313772886529083,-187.21043066965075,-187.12186647313473,-198.32882459520857,0.08856419651601755
ok,missing_time_varying_transmission,tv_sir,tv_sir,7,4,512,512,0,274.7662785890922,0.5366528878693207,0.04139834775608168,-172.95583030451863,-172.8990866328065,-184.08958579441105,0.0567436717121268
ok,missing_time_varying_transmission,tv_sir,tv_sir,8,4,512,512,0,417.47773947457256,0.8153862099112745,0.01377767774530991,-174.33673968723673,-174.2444625847953,-185.5336217975808,0.09227710244144305
ok,missing_time_varying_transmission,tv_sir,tv_sir,9,4,512,512,0,337.19654044863125,0.6585869930637329,0.03143841537353664,-184.83388159472466,-184.73541643586543,-196.13401264557578,0.09846515885922713
ok,missing_time_varying_transmission,tv_sir,tv_sir,10,4,512,512,0,441.49302639957784,0.8622910671866755,0.01390920878577983,-190.41534779418663,-190.333480451698,-202.02741409989747,0.08186734248863559
ok,missing_time_varying_transmission,tv_sir,tv_sir,11,4,512,512,0,460.3893644953174,0.8991979775299168,0.011027567744148252,-179.13922822308754,-179.09443852493644,-190.44683357296296,0.04478969815110645
ok,missing_time_varying_transmission,tv_sir,tv_sir,12,4,512,512,0,201.08495024012524,0.3927440434377446,0.05523266893768062,-184.57752334870403,-184.40272397335647,-195.9317382993742,0.17479937534756118
ok,missing_time_varying_transmission,tv_sir,tv_sir,13,4,512,512,0,451.66894361991535,0.8821659055076472,0.007846313982212026,-185.1341359936712,-185.27795353619487,-196.88042445797817,-0.14381754252366363
ok,missing_time_varying_transmission,tv_sir,tv_sir,14,4,512,512,0,427.24060369426286,0.8344543040903571,0.016549448250960594,-196.39262881309963,-196.3353252584933,-207.59162486507984,0.05730355460633518
ok,missing_time_varying_transmission,tv_sir,tv_sir,15,4,512,512,0,485.4708370794419,0.9481852286707849,0.005430639139383441,-196.99407026258783,-196.91561833737097,-208.96627846667812,0.07845192521685362
ok,missing_time_varying_transmission,tv_sir,tv_sir,17,4,512,512,0,458.00228500874994,0.8945357129077147,0.008533302264839202,-191.7776870710397,-191.68897424856823,-203.33265604652013,0.0887128224714786
ok,missing_time_varying_transmission,tv_sir,tv_sir,16,4,512,512,0,462.17895948521794,0.9026932802445663,0.006930592890425251,-182.48728638607935,-182.46822623076528,-193.69915693713045,0.01906015531406524
ok,regular_sir_full,sir,seir,0,3,512,512,0,474.585509199955,0.9269248226561622,0.007644299996243228,-457.9107368216584,-458.06829324142217,-476.3918449875891,-0.15755641976375045
ok,regular_sir_full,sir,seir,1,3,512,512,0,460.6060574641381,0.8996212059846447,0.011512179538508067,-458.72886169046797,-458.8725459541042,-476.93469391584637,-0.14368426363625986
ok,regular_sir_full,sir,seir,2,3,512,512,0,428.1592689713259,0.8362485722096209,0.01828926312947382,-456.6072715927108,-456.7481870548776,-475.0209040976921,-0.14091546216678807
ok,missing_time_varying_transmission,tv_sir,tv_sir,18,4,512,512,0,456.4695407997211,0.8915420718744552,0.009627405428694833,-179.03366551318115,-179.0477237391049,-190.27515041663912,-0.014058225923747614
ok,regular_sir_full,sir,seir,3,3,512,512,0,437.63697413105183,0.8547597150997106,0.016528297463747996,-438.063339338717,-438.23382136252843,-456.5752962814865,-0.17048202381141664
ok,missing_time_varying_transmission,tv_sir,tv_sir,19,4,512,512,0,448.3800004056144,0.8757421882922156,0.012011016264386127,-194.59213058362963,-194.61890411926936,-205.81449941868792,-0.026773535639733836
ok,regular_sir_full,sir,seir,4,3,512,512,0,476.393463048572,0.9304559825167422,0.00710088287617236,-476.85317915662205,-476.9588420569411,-495.07835801653675,-0.10566290031903236
ok,regular_sir_full,sir,seir,5,3,512,512,0,476.02320843909797,0.9297328289826132,0.005187160022398845,-417.40413657795204,-417.5920086324026,-436.08782176162435,-0.18787205445056543
ok,regular_sir_full,sir,seir,6,3,512,512,0,477.05263654791355,0.9317434307576437,0.0078061066084787025,-491.7375278825897,-491.90136870019194,-509.8664900269441,-0.16384081760224944
ok,regular_sir_full,sir,seir,7,3,512,512,0,447.3456514636243,0.8737219755148912,0.014493947466782025,-486.6263095028699,-486.77980408261726,-505.2817074766102,-0.1534945797473597
ok,regular_sir_full,sir,seir,8,3,512,512,0,473.69332590566165,0.9251822771594954,0.005593096164366714,-433.11219750578204,-433.31132236585916,-452.08586562892094,-0.19912486007712005
ok,regular_sir_full,sir,seir,9,3,512,511,1,426.3714150826128,0.8343863308857394,0.007519841983717424,-471.6944354116038,-471.6250275792282,-491.0042001650159,0.06940783237564574
ok,regular_sir_full,sir,seir,10,3,512,512,0,393.5635808065907,0.7686788687628725,0.022850813556041766,-467.0032925543947,-467.1104317390311,-485.76921180546935,-0.10713918463642358
ok,regular_sir_full,sir,seir,12,3,512,512,0,462.8998830424529,0.9041013340672909,0.009976773206795304,-466.62134404181467,-466.7738843385199,-485.54627592563804,-0.15254029670524005
