n_times,noise,trajectories,seed,criterion,interpretation,candidate,weight
10,0.005,2,7,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9629470241353388
10,0.005,2,8,gic_pred,predictive_support,neural_ode_h2,9.460245748871307e-07
10,0.005,2,8,gic_pred,predictive_support,sir,1.0028533404425282e-205
10,0.005,2,8,gic_pred,predictive_support,tv_sir,5.4049668172725554e-05
10,0.005,2,8,gic_pred,predictive_support,ude_sir_h2,0.9999450043072525
10,0.005,2,8,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.6101690705614299e-24
10,0.005,2,8,gic_evid,equal_prior_posterior_approximation,sir,1.0901179358448135e-199
10,0.005,2,8,gic_evid,equal_prior_posterior_approximation,tv_sir,0.45485025989472666
10,0.005,2,8,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.5451497401052734
10,0.005,2,9,gic_pred,predictive_support,neural_ode_h2,4.1869698260537944e-11
10,0.005,2,9,gic_pred,predictive_support,sir,9.946367149467975e-198
10,0.005,2,9,gic_pred,predictive_support,tv_sir,1.0627403034343024e-12
10,0.005,2,9,gic_pred,predictive_support,ude_sir_h2,0.9999999999570675
10,0.005,2,9,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,7.654238376241917e-25
10,0.005,2,9,gic_evid,equal_prior_posterior_approximation,sir,7.029953853181319e-191
10,0.005,2,9,gic_evid,equal_prior_posterior_approximation,tv_sir,5.392622280936732e-08
10,0.005,2,9,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9999999460737772
10,0.005,2,10,gic_pred,predictive_support,neural_ode_h2,1.2358828677723065e-09
10,0.005,2,10,gic_pred,predictive_support,sir,4.531300468334093e-208
10,0.005,2,10,gic_pred,predictive_support,tv_sir,3.1686926689075176e-11
10,0.005,2,10,gic_pred,predictive_support,ude_sir_h2,0.9999999987324302
10,0.005,2,10,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.3572268547448582e-25
10,0.005,2,10,gic_evid,equal_prior_posterior_approximation,sir,9.152324340134192e-202
10,0.005,2,10,gic_evid,equal_prior_posterior_approximation,tv_sir,5.936311693352928e-07
10,0.005,2,10,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9999994063688307
10,0.005,2,11,gic_pred,predictive_support,neural_ode_h2,0.0002259421961022697
10,0.005,2,11,gic_pred,predictive_support,sir,1.7052239461053513e-176
10,0.005,2,11,gic_pred,predictive_support,tv_sir,4.3503197003027444e-05
10,0.005,2,11,gic_pred,predictive_support,ude_sir_h2,0.9997305546068948
10,0.005,2,11,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.289763129675588e-25
10,0.005,2,11,gic_evid,equal_prior_posterior_approximation,sir,8.200808361049475e-171
10,0.005,2,11,gic_evid,equal_prior_posterior_approximation,tv_sir,0.17508401780291274
10,0.005,2,11,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.8249159821970872
10,0.005,2,12,gic_pred,predictive_support,neural_ode_h2,7.448743564455556e-17
10,0.005,2,12,gic_pred,predictive_support,sir,1.4161354371525574e-184
10,0.005,2,12,gic_pred,predictive_support,tv_sir,1.3544625988167788e-05
10,0.005,2,12,gic_pred,predictive_support,ude_sir_h2,0.9999864553740118
10,0.005,2,12,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.600985189910426e-35
10,0.005,2,12,gic_evid,equal_prior_posterior_approximation,sir,1.8403775770371505e-178
10,0.005,2,12,gic_evid,equal_prior_posterior_approximation,tv_sir,0.13716657290336082
10,0.005,2,12,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.8628334270966392
10,0.005,2,13,gic_pred,predictive_support,neural_ode_h2,4.340469661211581e-12
10,0.005,2,13,gic_pred,predictive_support,sir,3.0931568242052957e-202
10,0.005,2,13,gic_pred,predictive_support,tv_sir,7.747978343410087e-07
10,0.005,2,13,gic_pred,predictive_support,ude_sir_h2,0.9999992251978252
10,0.005,2,13,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,7.779919593312935e-31
10,0.005,2,13,gic_evid,equal_prior_posterior_approximation,sir,6.999956280588e-196
10,0.005,2,13,gic_evid,equal_prior_posterior_approximation,tv_sir,0.015631109617820604
10,0.005,2,13,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9843688903821795
10,0.005,2,14,gic_pred,predictive_support,neural_ode_h2,6.82054347761291e-08
10,0.005,2,14,gic_pred,predictive_support,sir,9.571738789475007e-194
10,0.005,2,14,gic_pred,predictive_support,tv_sir,0.0009564583873953582
10,0.005,2,14,gic_pred,predictive_support,ude_sir_h2,0.9990434734071698
10,0.005,2,14,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.1450319620628642e-30
10,0.005,2,14,gic_evid,equal_prior_posterior_approximation,sir,1.120203859862132e-188
10,0.005,2,14,gic_evid,equal_prior_posterior_approximation,tv_sir,0.9216267272300839
10,0.005,2,14,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.07837327276991615
10,0.005,2,15,gic_pred,predictive_support,neural_ode_h2,1.8159240181789393e-15
10,0.005,2,15,gic_pred,predictive_support,sir,8.752494050004818e-194
10,0.005,2,15,gic_pred,predictive_support,tv_sir,4.180948337501056e-06
10,0.005,2,15,gic_pred,predictive_support,ude_sir_h2,0.9999958190516606
10,0.005,2,15,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0320990530816914e-36
10,0.005,2,15,gic_evid,equal_prior_posterior_approximation,sir,4.0993095438829954e-188
10,0.005,2,15,gic_evid,equal_prior_posterior_approximation,tv_sir,0.02033167338712837
10,0.005,2,15,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9796683266128716
10,0.005,2,16,gic_pred,predictive_support,neural_ode_h2,1.3631204568324985e-07
10,0.005,2,16,gic_pred,predictive_support,sir,4.502639675679099e-203
10,0.005,2,16,gic_pred,predictive_support,tv_sir,7.657222146492983e-06
10,0.005,2,16,gic_pred,predictive_support,ude_sir_h2,0.9999922064658078
10,0.005,2,16,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.3718746082872647e-28
10,0.005,2,16,gic_evid,equal_prior_posterior_approximation,sir,4.6718472252482954e-197
10,0.005,2,16,gic_evid,equal_prior_posterior_approximation,tv_sir,0.07732375968823933
10,0.005,2,16,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9226762403117605
10,0.005,2,17,gic_pred,predictive_support,neural_ode_h2,8.491118910259347e-11
10,0.005,2,17,gic_pred,predictive_support,sir,1.7533717682612845e-197
10,0.005,2,17,gic_pred,predictive_support,tv_sir,1.3815366052670273e-07
10,0.005,2,17,gic_pred,predictive_support,ude_sir_h2,0.9999998617614283
10,0.005,2,17,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.0366490355340207e-29
10,0.005,2,17,gic_evid,equal_prior_posterior_approximation,sir,3.7402690324816936e-191
10,0.005,2,17,gic_evid,equal_prior_posterior_approximation,tv_sir,0.0025899504974484927
10,0.005,2,17,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9974100495025515
10,0.005,2,18,gic_pred,predictive_support,neural_ode_h2,1.9672891991861813e-05
10,0.005,2,18,gic_pred,predictive_support,sir,1.4499845187879205e-223
10,0.005,2,18,gic_pred,predictive_support,tv_sir,4.040723751045868e-06
10,0.005,2,18,gic_pred,predictive_support,ude_sir_h2,0.9999762863842571
10,0.005,2,18,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0197972439070344e-23
10,0.005,2,18,gic_evid,equal_prior_posterior_approximation,sir,3.085074916678776e-217
10,0.005,2,18,gic_evid,equal_prior_posterior_approximation,tv_sir,0.06882367399365198
10,0.005,2,18,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9311763260063479
10,0.005,2,19,gic_pred,predictive_support,neural_ode_h2,3.0088058016680006e-11
10,0.005,2,19,gic_pred,predictive_support,sir,1.2934983872194116e-174
10,0.005,2,19,gic_pred,predictive_support,tv_sir,1.3073981365326633e-05
10,0.005,2,19,gic_pred,predictive_support,ude_sir_h2,0.9999869259885467
10,0.005,2,19,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0010482719103101e-29
10,0.005,2,19,gic_evid,equal_prior_posterior_approximation,sir,1.142441650538945e-168
10,0.005,2,19,gic_evid,equal_prior_posterior_approximation,tv_sir,0.0864047045940243
10,0.005,2,19,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9135952954059757
10,0.005,4,0,gic_pred,predictive_support,neural_ode_h2,8.153161410045903e-14
10,0.005,4,0,gic_pred,predictive_support,sir,9.859676543758967e-305
10,0.005,4,0,gic_pred,predictive_support,tv_sir,2.1282190792059546e-36
