scenario,candidate,seed,resolution,d_obs,c_obs
early_seir_infected_only,neural_ode_h2,7,1.4677992676220697,2.077321895575796,7.219774303060546
early_seir_infected_only,neural_ode_h2,7,2.1544346900318843,1.9886663588302866,6.439642640761216
early_seir_infected_only,neural_ode_h2,7,3.1622776601683795,1.8989890214001033,5.693547385857603
early_seir_infected_only,neural_ode_h2,7,4.641588833612779,1.8028353058321478,4.982948610635487
early_seir_infected_only,neural_ode_h2,7,6.812920690579615,1.696006402429977,4.311195648043566
early_seir_infected_only,neural_ode_h2,7,10.0,1.57655887556589,3.6828416842123746
early_seir_infected_only,neural_ode_h2,7,14.677992676220699,1.4452181220370535,3.1026729909700084
early_seir_infected_only,neural_ode_h2,7,21.544346900318846,1.3048538070113689,2.574753691997503
early_seir_infected_only,neural_ode_h2,7,31.622776601683793,1.159188728656493,2.101836681732684
early_seir_infected_only,neural_ode_h2,7,46.4158883361278,1.0115897128377946,1.685287663037845
early_seir_infected_only,neural_ode_h2,7,68.12920690579611,0.8648103103597751,1.3253084050118153
early_seir_infected_only,neural_ode_h2,7,100.0,0.7216974717051343,1.021056368894002
early_seir_infected_only,neural_ode_h2,8,0.01,3.941065895397672,23.092924933953487
early_seir_infected_only,neural_ode_h2,8,0.014677992676220698,3.8148096796100526,21.60458323141513
early_seir_infected_only,neural_ode_h2,8,0.021544346900318832,3.6835152746851474,20.16560336449984
early_seir_infected_only,neural_ode_h2,8,0.03162277660168379,3.5464787054241595,18.778124921753147
early_seir_infected_only,neural_ode_h2,8,0.046415888336127774,3.4050842492362268,17.444142782374016
early_seir_infected_only,neural_ode_h2,8,0.06812920690579612,3.261808357359791,16.16486477709023
early_seir_infected_only,neural_ode_h2,8,0.1,3.1187278369335956,14.940581283909088
early_seir_infected_only,neural_ode_h2,8,0.1467799267622069,2.9766674721047677,13.771018108868677
early_seir_infected_only,neural_ode_h2,8,0.21544346900318834,2.8356062633311834,12.655778610549556
early_seir_infected_only,neural_ode_h2,8,0.31622776601683794,2.6959239156272985,11.594440084859878
early_seir_infected_only,neural_ode_h2,8,0.46415888336127775,2.559389614211669,10.586183676463387
early_seir_infected_only,neural_ode_h2,8,0.6812920690579611,2.4289844671658045,9.629251501918402
early_seir_infected_only,neural_ode_h2,8,1.0,2.3075603613754967,8.720712492029804
early_seir_infected_only,neural_ode_h2,8,1.4677992676220697,2.19623232364256,7.8568302222590765
