schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,13066be19a18391e,early_seir_infected_only,27,calibration,3,3,36.68111372851416,7.4541493902599685,-43.84721004502572,1.2942568780116785,4.268843099998776
2.0,13066be19a18391e,early_seir_infected_only,28,calibration,3,2,42.48363968445218,4.364628901708148,-40.069397890140515,1.7400241104189833,4.328839499998139
2.0,13066be19a18391e,early_seir_infected_only,29,calibration,3,2,30.178406427680574,4.220902650020763,-44.218037658126875,1.6227487697774918,4.362901699991198
2.0,13066be19a18391e,early_seir_infected_only,30,calibration,3,2,6.09124105685858,5.2499823565334465,-43.296550878733186,0.7223036709099196,4.290213499989477
2.0,13066be19a18391e,early_seir_infected_only,31,calibration,3,2,45.567201050815335,7.326459720984829,-38.80791692630625,1.7724658068387107,4.291516400000546
2.0,13066be19a18391e,early_seir_infected_only,32,calibration,3,2,39.93548192277021,8.402243974518269,-44.66841643986073,1.5590225446608492,4.362831400008872
2.0,13066be19a18391e,early_seir_infected_only,33,calibration,3,2,0.2475719544130015,6.499935232615939,-42.74490434824951,1.1416000468401275,4.370259300005273
2.0,13066be19a18391e,early_seir_infected_only,34,calibration,3,2,35.65316784283283,9.033252543049999,-39.37262358002424,1.4384189988145388,4.347664900007658
2.0,13066be19a18391e,early_seir_infected_only,35,calibration,3,2,8.083771457839838,6.016974252995324,-39.78314420023473,1.1222920560190346,4.324168400009512
2.0,13066be19a18391e,early_seir_infected_only,36,calibration,3,2,6.129953254809756,7.151764822305731,-31.974771275958048,1.0980253605675108,4.292552799990517
2.0,13066be19a18391e,early_seir_infected_only,37,calibration,3,2,84.48375398535484,4.038282325766254,-37.66255096779605,2.303002810532782,4.360980199999176
2.0,13066be19a18391e,early_seir_infected_only,38,calibration,3,2,2.247411730513152,6.126547181914665,-43.07324610801858,0.2482702809009272,4.2799314000003505
2.0,13066be19a18391e,early_seir_infected_only,39,calibration,3,2,15.965369462160755,4.92660140821909,-43.17879679729155,1.1151199372970408,4.361228599998867
2.0,13066be19a18391e,early_seir_infected_only,40,calibration,3,3,36.97065437005629,5.761025766754081,-40.60713226341201,1.2406153505956272,4.263424200005829
2.0,13066be19a18391e,early_seir_infected_only,41,calibration,3,2,2.8238095421455576,5.891521471470727,-45.60785448659782,0.6536122528439385,4.327390199992806
2.0,13066be19a18391e,early_seir_infected_only,42,calibration,3,2,18.89350703422801,7.5004341846161715,-41.55726354190362,1.5016210217369503,4.3645051999919815
2.0,13066be19a18391e,early_seir_infected_only,43,calibration,3,3,38.38022185201224,8.738666791479034,-43.82541133031343,1.1283436430019822,4.295874199990067
2.0,13066be19a18391e,early_seir_infected_only,44,calibration,3,2,54.789462968949906,7.671777971906462,-41.148452629450105,1.83801577620977,4.400038899999345
2.0,13066be19a18391e,early_seir_infected_only,45,calibration,3,2,12.364404832723004,6.187903329245116,-42.478633631080584,1.2286276981724806,4.270128000003751
2.0,13066be19a18391e,early_seir_infected_only,46,calibration,3,2,0.23921589746457217,6.598617522296278,-38.791698665472666,0.1324407534671943,4.272692500002449
2.0,13066be19a18391e,early_seir_infected_only,47,calibration,3,2,60.64733467292395,5.768420096533976,-38.71748475945893,1.770753432113392,4.3180174000008265
2.0,13066be19a18391e,early_seir_infected_only,48,calibration,3,2,9.844405410328127,6.93350214490281,-33.55127301688407,0.7295613809336875,4.385306900003343
2.0,13066be19a18391e,early_seir_infected_only,49,calibration,3,3,11.618173529461572,7.372915491324876,-41.24156647702887,0.8340140734926363,4.348783800000092
2.0,13066be19a18391e,early_seir_infected_only,50,calibration,3,3,59.9200036018198,5.992654077740554,-36.071786545312435,1.2728705594914984,4.328732200010563
2.0,13066be19a18391e,early_seir_infected_only,51,calibration,3,2,4.602864517050346,5.465844006527509,-41.11246098479338,0.640446945770572,4.282485500007169
2.0,13066be19a18391e,early_seir_infected_only,52,calibration,3,2,233.64295737980416,5.02835053107743,-40.0869664218499,2.803826603104633,4.338845999998739
2.0,13066be19a18391e,early_seir_infected_only,53,calibration,3,2,1.1853513127908695,6.110644090995445,-42.081420252913894,0.7415698949349694,4.294839700000011
2.0,13066be19a18391e,early_seir_infected_only,54,calibration,3,2,9.372219275142855,4.484896044153434,-39.4258182226505,1.0538730674881056,4.365660700001172
