status,scenario,truth,candidate,candidate_label,seed,observation,noise,n_observations,dimension,objective,deviance,converged,iterations,wall_seconds,forecast_mse,blocked_validation,condition_information,jacobian_rank,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,d_obs,c_obs,prior_energy,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100
ok,early_seir_infected_only,seir,seir,SEIR,10,infected,0.02,16,3,-42.476523672319615,-85.05496695256399,True,164,6.209143600004609,0.00019890690596651835,-27.571672094657377,13051.872521694677,3,-79.05496695256399,-77.05496695256399,-76.73720078584465,-20.800741301777308,28.497509267249868,-82.06557639948088,-77.53039785208469,1.4946952765415524,7.422649492554534,0.10191960792475968,-80.91079168563981,-79.05512931250118,-77.19946693936254,-73.48814219308528
ok,early_seir_infected_only,seir,seir,SEIR,11,infected,0.02,16,3,-41.65789650282655,-83.45969816221678,True,167,6.645021899996209,3.146474298982809e-05,-16.739282059955272,10236.619216005305,3,-77.45969816221678,-75.45969816221678,-75.14193199549744,23.676378268497125,49.32340535130699,-80.35495906146139,-75.59215761384723,1.552369550377697,7.723635391805874,0.14390515656367334,-79.15561585409114,-77.22470700613967,-75.2937981581882,-71.43198046228527
ok,early_seir_infected_only,seir,seir,SEIR,12,infected,0.02,16,3,-38.46421104739121,-78.39161891769118,True,166,4.438232999993488,0.0026905142901498427,-21.052059217728033,4213.644678227196,3,-72.39161891769118,-70.39161891769118,-70.07385275097184,-27.952691752647873,23.028007004603747,-73.99734956727005,-66.88316040472881,2.1971346752105645,10.045261690053614,1.4631968229087584,-72.2998680959604,-69.788552673447,-67.2772372509336,-62.25460640590679
ok,early_seir_infected_only,seir,seir,SEIR,13,infected,0.02,16,3,-41.701999067489325,-84.71786727597069,True,169,12.774382000003243,0.000408064665103689,-13.439812326575641,11035.333113111363,3,-78.71786727597069,-76.71786727597069,-76.40010110925135,37.94444962524116,56.969039944667095,-81.45212692257094,-75.40362212806897,1.6328701766998772,8.000376006909683,1.3138691409920327,-80.19058983917093,-78.1904958374435,-76.19040183571609,-72.19021383226124
ok,early_seir_infected_only,seir,seir,SEIR,14,infected,0.02,16,3,-39.29451639855695,-79.0827442956761,True,167,12.731174799992004,0.00016122028457604437,-25.418709920125927,5426.214660534361,3,-73.0827442956761,-71.0827442956761,-70.76497812895676,-11.085185643452983,31.287949634649948,-75.33513046548032,-69.87622041289603,1.873806915097888,8.712812384217873,0.4937114985621875,-73.88744837522077,-71.7092452791663,-69.53104218311184,-65.1746359910029
ok,early_seir_infected_only,seir,seir,SEIR,15,infected,0.02,16,3,-41.71876320673164,-83.61113896998174,True,168,12.298913299993728,0.00017711567039371454,-10.647779689371518,14979.826197008673,3,-77.61113896998174,-75.61113896998174,-75.2933728032624,105.58905958435176,91.31089763081772,-80.5114309680451,-75.76359698233037,1.5498540009683173,7.6739294311328985,0.17361255651846946,-79.31403124577878,-77.39554888799556,-75.47706653021233,-71.64010181464587
ok,early_seir_infected_only,seir,seir,SEIR,16,infected,0.02,16,3,-37.77149212297406,-75.9674596616924,True,164,12.665245900003356,0.000725846295440649,-27.319528672924147,17863.520657723348,3,-69.9674596616924,-67.9674596616924,-67.64969349497306,-45.104399746047996,12.329883166902992,-72.88868353814169,-68.09309541506053,1.5393880617753553,7.449888830887588,0.4244754157442837,-71.6993696824635,-69.8368974747416,-67.97442526701971,-64.24948085157591
ok,early_seir_infected_only,seir,seir,SEIR,17,infected,0.02,16,3,-39.21973120622618,-78.62444287674472,True,168,6.367997200009995,0.0004668680798199786,-24.811245016729085,14350.434019819239,3,-72.62444287674472,-70.62444287674472,-70.30667671002539,-1.939809765186375,35.10341098107955,-75.85183113255603,-71.36535466466756,1.3863058720943495,7.074107747784797,0.18498046429236376,-74.78078685020114,-73.01225991325494,-71.24373297630873,-67.70667910241635
ok,early_seir_infected_only,seir,seir,SEIR,18,infected,0.02,16,3,-42.09928403452385,-84.43792359206617,True,167,6.360617600003025,0.0002324165051079657,-25.99415131391961,10034.79806048944,3,-78.43792359206617,-76.43792359206617,-76.12015742534683,44.11214891494241,59.739117956138124,-81.55350504629385,-76.84790796067935,1.4422092728861617,7.3506601083683485,0.2393555230184792,-80.43927042695236,-78.60160539986028,-76.76394037276819,-73.08861031858402
ok,early_seir_infected_only,seir,seir,SEIR,19,infected,0.02,16,3,-43.50911798612559,-87.26016082562309,True,163,6.790577300009318,1.994308707462396e-05,-28.305728699474265,16454.820787495075,3,-81.26016082562309,-79.26016082562309,-78.94239465890375,45.54278705481049,62.621366323435836,-84.15427205830574,-79.42611928934386,1.5529443836586783,7.592116682907311,0.24192485337191225,-82.95448474122543,-81.0564555704986,-79.15842639977177,-75.36236805831811
ok,early_seir_infected_only,seir,sir,SIR,0,infected,0.02,16,2,-38.943261340450384,-78.41041006060124,True,162,9.960947500003385,0.00010720685420720865,-18.820959637416426,7548.0979465086575,2,-74.41041006060124,-73.48733313752432,-72.86523261612167,91.54715114411349,82.90302675877359,-76.02658360184714,-70.17719032705426,1.1919132293770527,7.709332353846502,0.5238873797004725,-75.10572488294203,-73.1783917944804,-71.25105870601878,-67.39639252909552
ok,early_seir_infected_only,seir,sir,SIR,1,infected,0.02,16,2,-40.4257472495133,-81.44461138117084,True,161,4.907115099995281,4.9151226547583765e-06,0.004719534744786813,8994.00235204988,2,-77.44461138117084,-76.52153445809392,-75.89943393669128,22.838425308404542,50.63419917589334,-79.14894236147188,-73.33245886786811,1.1478345098494813,7.5190356311584905,0.5931168821442458,-78.26213836416454,-76.38237945637492,-74.5026205485853,-70.74310273300605
