status,candidate,candidate_label,truth,seed,dimension,deviance,intervention_validation,held_out_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,sir,SIR,ude_sir_h2,1,2,2.6052339032474947,20.383887795813678,0.0013061575280201112,2,13.492482700006803,6.605233903247495,6.716345014358605,12.024294305872163,24.940353157435773,18.868222687748755,6.605019251960188,23.048375511842444,12.023788852512004,17.098093536187267,22.17239821986253,32.32100758721306,1.999892674356347,20.297218734701055,0.14592287389389635
ok,sir,SIR,ude_sir_h2,2,2,-52.57801646892676,15.909664702069108,0.0013712244327042928,2,13.194084600007045,-48.57801646892676,-48.46690535781565,-43.158956066302096,-34.51118086056671,14.955386789046624,-48.578228703912245,-32.13247638235586,-43.159455829839054,-38.08277370210877,-33.00609157437849,-22.852727318917914,1.9998938825072567,20.30672851092114,0.13881157564975796
ok,sir,SIR,ude_sir_h2,3,2,-62.644879725818896,40.278007234859444,0.0013948445741157874,2,27.392543699999806,-58.644879725818896,-58.53376861470778,-53.22581932319423,-43.01744608534953,16.245769097698286,-58.64508991601057,-42.18548344865193,-53.226314271722075,-48.14636062284649,-43.0664069739709,-32.90649967621973,1.9998949049041643,20.319814595502343,0.1395816816646226
ok,sir,SIR,ude_sir_h2,4,2,-62.715242047138304,14.977785844306425,0.001404667505292239,2,13.766247199993813,-58.715242047138304,-58.60413093602719,-53.29618164451364,-43.48918443784418,16.00001506278693,-58.71545457731205,-42.282447445551306,-53.29668210314962,-48.22160305058943,-43.14652399802924,-32.99636589290885,1.9998937349131254,20.300316210240773,0.1324783913462244
ok,sir,SIR,ude_sir_h2,5,2,-41.97832488136328,26.27962927451,0.0013072252399730906,2,34.07253449999553,-37.97832488136328,-37.867213770252164,-32.55926447873861,-19.657283245339514,19.134175001128895,-37.978538566966805,-21.525360352902204,-32.5597676581403,-27.48359341346942,-22.407419168798537,-12.255070679456772,1.9998931571982381,20.30469697868353,0.14826754977753964
ok,sir,SIR,ude_sir_h2,6,2,-40.464960329839755,82.71520951963976,0.0015067795047615335,2,27.07402000000002,-36.464960329839755,-36.35384921872864,-31.04589992721509,-17.956579563627702,19.000340340618674,-36.46516297948567,-19.954065615102202,-31.046377119528955,-25.95415820743444,-20.861939295339926,-10.677501471150897,1.9998986751770413,20.368875648378058,0.14201906635949463
ok,sir,SIR,ude_sir_h2,7,2,43.94141883179668,-5.237188126852374,0.0013907666283504022,2,15.710301899991464,47.94141883179668,48.052529942907796,53.36047923442135,62.58626376120198,15.823315949681225,47.94121022410789,64.41964189773205,53.35998801231606,58.44332289548076,63.52665777864546,73.69332754497486,1.9998956961556051,20.3333395326588,0.14488353327656894
ok,sir,SIR,ude_sir_h2,8,2,54.67419905180145,7.08506891426984,0.0013020409816489604,2,41.04184649999661,58.67419905180145,58.785310162912566,64.09325945442612,78.0800482669328,19.52491938201918,58.673984996829574,75.12526093956642,64.09275540524871,69.16840704920729,74.24405869316587,84.39536198108304,1.99989297251406,20.30260657583433,0.14845531193064104
ok,sir,SIR,ude_sir_h2,9,2,-24.18049319193426,55.229127316466986,0.0013887390336940683,2,13.602138799993554,-20.18049319193426,-20.06938208082315,-14.761432789309593,-5.646757081043038,15.724269565717337,-20.18070188370866,-3.7025181065023993,-14.761924209416744,-9.678691446647328,-4.5954586838779115,5.571006841660921,1.9998956541128,20.332931051077665,0.14504403435419647
ok,tv_sir,TV-SIR,ude_sir_h2,0,4,-572.0648565215587,-176.16296958222503,7.311998396483081e-05,4,22.945708800005377,-564.0648565215587,-563.6874980309926,-553.2267357163093,-561.9672315872033,5.422466765137102,-564.108145701645,-538.9313663371015,-553.3286715668125,-545.1684392688718,-537.008206970931,-520.6877423750495,3.978355409956847,32.64092919176295,0.4925609926942017
