experiment,dimension,trial,relative_spectrum_error,raw_dimension_original,raw_dimension_duplicate,d_obs_original,d_obs_duplicate,c_obs_original,c_obs_duplicate
coordinate_change,11,49.0,3.122154631415597e-10,,,,,,
coordinate_change,11,50.0,2.3637213524971707e-10,,,,,,
coordinate_change,11,51.0,7.050283794673338e-10,,,,,,
coordinate_change,11,52.0,6.297942971275551e-10,,,,,,
coordinate_change,11,53.0,2.459633534013089e-09,,,,,,
coordinate_change,11,54.0,5.39606469484873e-10,,,,,,
coordinate_change,11,55.0,3.4547900929107183e-09,,,,,,
coordinate_change,11,56.0,1.747591424011692e-09,,,,,,
coordinate_change,11,57.0,6.243261710583999e-10,,,,,,
coordinate_change,11,58.0,5.751784806214274e-10,,,,,,
coordinate_change,11,59.0,2.1455656324110886e-09,,,,,,
coordinate_change,11,60.0,4.5274769424847636e-10,,,,,,
coordinate_change,11,61.0,7.969827992768803e-10,,,,,,
coordinate_change,11,62.0,1.1083897461040578e-09,,,,,,
coordinate_change,11,63.0,1.5403089424575648e-09,,,,,,
coordinate_change,11,64.0,1.5941066241035541e-09,,,,,,
coordinate_change,11,65.0,8.127981390506638e-10,,,,,,
coordinate_change,11,66.0,1.1042037035788274e-09,,,,,,
coordinate_change,11,67.0,2.5423087643760646e-09,,,,,,
coordinate_change,11,68.0,6.497275186510169e-10,,,,,,
coordinate_change,11,69.0,2.3536175708084017e-09,,,,,,
coordinate_change,11,70.0,9.583347209762014e-10,,,,,,
coordinate_change,11,71.0,1.3352109394252793e-09,,,,,,
coordinate_change,11,72.0,3.3755445351159243e-10,,,,,,
coordinate_change,11,73.0,7.151427401758554e-10,,,,,,
coordinate_change,11,74.0,3.3992877999102806e-09,,,,,,
coordinate_change,11,75.0,1.0861101599487704e-09,,,,,,
coordinate_change,11,76.0,9.031605834168572e-10,,,,,,
coordinate_change,11,77.0,1.2122263484112794e-09,,,,,,
coordinate_change,11,78.0,2.9873139500148708e-09,,,,,,
coordinate_change,11,79.0,9.031179851055329e-10,,,,,,
coordinate_change,11,80.0,1.319526145223285e-09,,,,,,
coordinate_change,11,81.0,6.918430492985111e-10,,,,,,
coordinate_change,11,82.0,1.78777744795517e-09,,,,,,
coordinate_change,11,83.0,1.9307564673754455e-09,,,,,,
coordinate_change,11,84.0,2.2213404052072685e-09,,,,,,
coordinate_change,11,85.0,9.70760994936377e-10,,,,,,
coordinate_change,11,86.0,9.331916743704451e-10,,,,,,
coordinate_change,11,87.0,9.215535132278128e-10,,,,,,
coordinate_change,11,88.0,8.545201979189087e-10,,,,,,
coordinate_change,11,89.0,4.4326799201259247e-10,,,,,,
coordinate_change,11,90.0,9.886580899994242e-10,,,,,,
