candidate,seed,train_deviance,blocked_standardized_mse,observable_dimension,observable_complexity,aic,bic,gic_eff,gic_vol
minimal_fixed,13,12.94394993340368,10.858333155930964,1.345283760073059,3.7059780651344156,18.94394993340368,17.772263670705982,15.10910061984716,16.962089652414367
minimal_gamma,13,9.48997056555164,13.984816960358696,2.4706343185134956,8.26761678636709,19.48997056555164,17.537160127722142,13.466303105528047,17.60011149871159
ude_appearance,13,11.098041440611654,2.933459752357045,2.1016240897685785,5.1698663136151675,31.098041440611652,27.192420564952656,14.480474928370011,17.065408085177594
neural_ode,13,14.607812507456902,357.3884112993457,1.4556449405376164,4.44265313117879,36.6078125074569,32.311629544232005,16.950582661801022,19.171909227390415
minimal_fixed,14,26.504769093540887,3.9709284666560043,1.767215264275047,8.356416433209365,32.50476909354089,31.33308283084319,29.348992339297396,33.52720055590208
minimal_gamma,14,14.389309262675175,0.7698072819226611,2.18457634696115,6.269503820819088,24.389309262675177,22.43649882484568,17.90524925808124,21.040001168490786
ude_appearance,14,32.442882215308465,6.6347109118066925,2.1702958163696584,9.85238772327572,52.442882215308465,48.53726133964947,35.93583858337091,40.86203244500877
neural_ode,14,10.730335352946259,226.87158787544178,1.313267738558302,4.323127811577186,32.730335352946256,28.434152389721362,12.843958240558585,15.005522146347179
minimal_fixed,15,12.53961564306288,0.265424244918901,1.3028281538144104,2.831382821778982,18.53961564306288,17.367929380365183,14.636436667198318,16.052128078087808
minimal_gamma,15,25.022006698475487,19.3280871133722,2.7055968933478898,15.283646529036346,35.02200669847549,33.06919626064599,29.376496914393503,37.01832017891168
ude_appearance,15,22.17589091288582,6.49011963622857,2.3216599108763165,11.321528995984432,42.17589091288582,38.27027003722682,25.912458393228537,31.57322289122075
neural_ode,15,10.298766072400454,47.94203537630399,1.263484943640581,2.776976034814096,32.298766072400454,28.002583109175557,12.332266642485267,13.720754659892314
minimal_fixed,17,11.979172054577603,3.2886573837223008,1.387571430480678,3.4039874159773627,17.979172054577603,16.807485791879905,14.212382121003625,15.914375828992306
minimal_gamma,17,11.33622703911459,5.161597433966712,2.420094300733044,8.154850807309856,21.33622703911459,19.38341660128509,15.231218558380043,19.30864396203497
ude_appearance,17,16.770993348406723,0.44462595753577183,1.9568319271789225,4.456166528523989,36.77099334840672,32.86537247274772,19.920392840269965,22.14847610453196
neural_ode,17,11.792574042091665,299.8656481438821,1.3876584505419847,4.338364622194105,33.792574042091665,29.49639107886677,14.025924161903495,16.195106473000546
minimal_fixed,16,21.774087866392808,1.7186103262613548,1.368856365429929,3.7105803480279005,27.774087866392808,26.602401603695107,23.977177197592482,25.832467371606434
minimal_gamma,16,17.914356917996006,5.857227940954909,2.645685267030673,9.839657651925132,27.914356917996006,25.961546480166508,22.172423091123505,27.09225191708607
ude_appearance,16,31.053096623236023,9.000568628256076,2.01081609002294,4.895119781208837,51.05309662323602,47.147475747577026,34.28938027345144,36.73694016405586
neural_ode,16,21.215689704841385,455.3644503102977,1.4333894123467035,5.592812925252362,43.21568970484138,38.91950674161649,23.522640968353805,26.319047430979985
minimal_fixed,18,26.472284412885593,25.908125164222515,1.6703266765905194,10.62893229790316,32.47228441288559,31.300598150187895,29.160571492340427,34.475037641292005
minimal_gamma,18,26.265457341628625,6.809902580904157,2.5514113638513125,14.893508997984489,36.265457341628625,34.31264690379913,30.371795520826122,37.81855001981837
ude_appearance,18,29.550437323691035,3.4792462048899044,1.8504393098364864,11.622202563101261,49.550437323691035,45.64481644803204,32.52860450360027,38.3397057851509
neural_ode,18,10.000451706005096,67.61609499180722,0.861965495966085,1.8771433369277453,32.000451706005094,27.7042687427802,11.387731654422975,12.326303322886847
minimal_fixed,19,14.225310631314214,1.190892039364418,1.3736055794689452,3.2789979185380234,20.225310631314215,19.053624368616514,16.436043527642546,18.07554248691156
minimal_gamma,19,20.601632276799464,21.85750526283023,2.822468365312252,14.120098756464245,30.601632276799464,28.648821838969965,25.1442198705789,32.20426924881102
ude_appearance,19,11.169717646998778,3.8428228615952023,2.0821471150327686,5.138273891555862,31.169717646998777,27.26409677133978,14.520804153197801,17.089941098975732
neural_ode,19,10.620972904625258,165.70503332655045,1.4133261284663867,3.752913486661094,32.62097290462526,28.32478994140036,12.895633558412769,14.772090301743315
minimal_fixed,20,23.28267149938528,166.8750099292674,1.6275893425946366,10.259310946579228,29.28267149938528,28.110985236687583,25.902175493230782,31.031830966520396
minimal_gamma,20,23.329752054361315,27.910252345533145,2.5663213170450137,14.266184414207242,33.329752054361315,31.376941616531816,27.46008687750137,34.59317908460499
ude_appearance,20,24.217525931335533,13.917241449462097,2.0941666012233937,11.09936382021601,44.21752593133553,40.31190505567653,27.58795705429773,33.13763896440573
neural_ode,20,9.371030107450776,11.737644485502035,1.0872093817933464,2.5901702391040367,31.37103010745078,27.074847144225878,11.120826105263028,12.415911224815046
minimal_fixed,21,24.00616550413276,10.04450044347407,1.631805850530935,10.34123942425828,30.00616550413276,28.834479241435062,26.63245570570902,31.80307541783816
minimal_gamma,21,21.729534434309528,12.225695808981458,2.640245892799288,15.613991734520692,31.729534434309528,29.77672399648003,25.978846272329122,33.78584213958947
