seed,scenario,criterion,model,score,weight,selected
11,redundant_parameterization,bic,SIR,26.47710073154792,0.8546460050286979,1
11,redundant_parameterization,bic,Redundant-SIR,38.655190482441625,0.0019379728005185773,0
11,redundant_parameterization,bic,Duplicate-UDE,48.89356973725755,1.1590758854274736e-05,0
11,redundant_parameterization,bic,TV-SIR,30.04713777925707,0.14340443141192916,0
11,redundant_parameterization,gic_eff,SIR,26.44565711931084,0.2604871041145122,0
11,redundant_parameterization,gic_eff,Redundant-SIR,26.383403740364948,0.2687227140260689,0
11,redundant_parameterization,gic_eff,Duplicate-UDE,25.505582804004636,0.4167933407658692,1
11,redundant_parameterization,gic_eff,TV-SIR,29.592912737357988,0.053996841093549845,0
11,redundant_parameterization,gic_aic,SIR,24.367399997666613,0.2238170836688998,0
11,redundant_parameterization,gic_aic,Redundant-SIR,24.326504665003245,0.2284407310170202,0
11,redundant_parameterization,gic_aic,Duplicate-UDE,23.08436797988514,0.42510880009695556,1
11,redundant_parameterization,gic_aic,TV-SIR,25.57065965961893,0.12263338521712451,0
11,redundant_parameterization,cv,SIR,0.7012345049047306,0.253473586510602,1
11,redundant_parameterization,cv,Redundant-SIR,0.7012345049047278,0.25347358651060237,1
11,redundant_parameterization,cv,Duplicate-UDE,0.7462440170841826,0.24783293408809864,0
11,redundant_parameterization,cv,TV-SIR,0.7674430896298374,0.24521989289069698,0
12,redundant_parameterization,aic,SIR,14.48211373304029,0.7611445514786855,1
12,redundant_parameterization,aic,Redundant-SIR,22.482113733040293,0.013940848747011124,0
12,redundant_parameterization,aic,Duplicate-UDE,30.43067241268802,0.00026198813811410164,0
12,redundant_parameterization,aic,TV-SIR,16.922649789839923,0.22465261163618921,0
12,redundant_parameterization,bic,SIR,16.571158608487135,0.9040572479556868,1
12,redundant_parameterization,bic,Redundant-SIR,28.749248359380832,0.002050016435273661,0
12,redundant_parameterization,bic,Duplicate-UDE,40.875896789922244,4.769678365622999e-06,0
12,redundant_parameterization,bic,TV-SIR,21.100739540733613,0.09388796593067383,0
