scenario,seed,criterion,selected,truth,correct
missing_neural_feedback,7,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,ogic_p,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,gic_eff,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,gic_vol_025,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,gic_vol_050,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,gic_vol_100,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,8,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,8,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,8,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,8,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,8,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,blocked_validation,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,ogic_p,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,gic_eff,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,gic_vol_025,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,gic_vol_050,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,9,ogic_e,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,10,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,11,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,11,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,11,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,11,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,11,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,12,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,ogic_p,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,12,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,12,gic_vol_025,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,12,gic_vol_050,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,12,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,12,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,13,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,13,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,13,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,13,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,13,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,13,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,14,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,15,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,15,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,15,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,15,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,15,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,16,ogic_e,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,17,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,blocked_validation,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,17,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,ogic_p,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,gic_eff,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,17,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,17,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,17,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,18,ogic_e,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,19,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,19,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,19,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,19,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,19,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,19,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,19,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,19,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,19,gic_vol_050,ude_sir_h2,ude_sir_h2,1
