scenario,seed,criterion,candidate,weight
early_seir_infected_only,5,waic_laplace,seir,1.1212574018715627e-11
early_seir_infected_only,5,waic_laplace,sir,2.5284093107399724e-05
early_seir_infected_only,5,waic_laplace,tv_sir,1.806703474911188e-21
early_seir_infected_only,5,waic_laplace,ude_sir_h2,9.859427250669478e-305
early_seir_infected_only,5,ogic_p,neural_ode_h2,0.07824321370280714
early_seir_infected_only,5,ogic_p,seir,0.2640691882798035
early_seir_infected_only,5,ogic_p,sir,0.2805332345382119
early_seir_infected_only,5,ogic_p,tv_sir,0.09613040971235406
early_seir_infected_only,5,ogic_p,ude_sir_h2,0.2810239537668233
early_seir_infected_only,5,gic_eff,neural_ode_h2,0.05838450008502613
early_seir_infected_only,5,gic_eff,seir,0.26656731586614285
early_seir_infected_only,5,gic_eff,sir,0.307401845041758
early_seir_infected_only,5,gic_eff,tv_sir,0.059678350879769256
early_seir_infected_only,5,gic_eff,ude_sir_h2,0.3079679881273038
early_seir_infected_only,5,gic_vol_025,neural_ode_h2,0.05594553031836885
early_seir_infected_only,5,gic_vol_025,seir,0.2876321980582056
early_seir_infected_only,5,gic_vol_025,sir,0.3147534210839154
early_seir_infected_only,5,gic_vol_025,tv_sir,0.028143176286915365
early_seir_infected_only,5,gic_vol_025,ude_sir_h2,0.31352567425259475
early_seir_infected_only,5,gic_vol_050,neural_ode_h2,0.05262404106755174
early_seir_infected_only,5,gic_vol_050,seir,0.3046625496918629
early_seir_infected_only,5,gic_vol_050,sir,0.31636280653080096
early_seir_infected_only,5,gic_vol_050,tv_sir,0.013028078888217613
early_seir_infected_only,5,gic_vol_050,ude_sir_h2,0.3133225238215667
early_seir_infected_only,5,gic_vol_100,neural_ode_h2,0.04548372162863824
early_seir_infected_only,5,gic_vol_100,seir,0.33389999640323503
early_seir_infected_only,5,gic_vol_100,sir,0.31221196172485854
early_seir_infected_only,5,gic_vol_100,tv_sir,0.0027272761490450383
early_seir_infected_only,5,gic_vol_100,ude_sir_h2,0.30567704409422325
early_seir_infected_only,5,ogic_e,neural_ode_h2,4.878504674637915e-06
early_seir_infected_only,5,ogic_e,seir,0.41844309169422833
early_seir_infected_only,5,ogic_e,sir,0.2839963578252589
early_seir_infected_only,5,ogic_e,tv_sir,0.019161306460811718
early_seir_infected_only,5,ogic_e,ude_sir_h2,0.27839436551502633
early_seir_infected_only,6,aic,neural_ode_h2,1.9958191642724376e-06
early_seir_infected_only,6,aic,seir,0.4046687404953576
early_seir_infected_only,6,aic,sir,0.2628711145149008
early_seir_infected_only,6,aic,tv_sir,0.33239253255786716
early_seir_infected_only,6,aic,ude_sir_h2,6.561661271015605e-05
early_seir_infected_only,6,aicc,neural_ode_h2,3.402712773130405e-97
early_seir_infected_only,6,aicc,seir,0.40397126875100003
early_seir_infected_only,6,aicc,sir,0.44961890329951454
early_seir_infected_only,6,aicc,tv_sir,0.14640982794948548
early_seir_infected_only,6,aicc,ude_sir_h2,8.295474010257492e-19
early_seir_infected_only,6,bic,neural_ode_h2,2.8003953427660727e-08
early_seir_infected_only,6,bic,seir,0.3977575386947517
early_seir_infected_only,6,bic,sir,0.3802131539740458
early_seir_infected_only,6,bic,tv_sir,0.22202634567593305
early_seir_infected_only,6,bic,ude_sir_h2,2.9336513160222714e-06
early_seir_infected_only,6,blocked_validation,neural_ode_h2,1.2863872010628017e-07
early_seir_infected_only,6,blocked_validation,seir,0.005075023732369576
early_seir_infected_only,6,blocked_validation,sir,3.3500264603441283e-06
early_seir_infected_only,6,blocked_validation,tv_sir,0.9949180763384944
early_seir_infected_only,6,blocked_validation,ude_sir_h2,3.421263955625869e-06
early_seir_infected_only,6,waic_laplace,neural_ode_h2,0.9154692596316619
early_seir_infected_only,6,waic_laplace,seir,6.277588094498802e-07
early_seir_infected_only,6,waic_laplace,sir,1.140844871396683e-10
early_seir_infected_only,6,waic_laplace,tv_sir,0.08453011249544423
early_seir_infected_only,6,waic_laplace,ude_sir_h2,2.0781992316402392e-39
early_seir_infected_only,6,ogic_p,neural_ode_h2,0.05083769626127191
early_seir_infected_only,6,ogic_p,seir,0.44085639040507235
early_seir_infected_only,6,ogic_p,sir,0.12613165557569275
early_seir_infected_only,6,ogic_p,tv_sir,0.23107559197805022
early_seir_infected_only,6,ogic_p,ude_sir_h2,0.15109866577991266
early_seir_infected_only,6,gic_eff,neural_ode_h2,0.040369657804888374
early_seir_infected_only,6,gic_eff,seir,0.5034057709882179
early_seir_infected_only,6,gic_eff,sir,0.1543991676199264
early_seir_infected_only,6,gic_eff,tv_sir,0.15074594708004915
early_seir_infected_only,6,gic_eff,ude_sir_h2,0.15107945650691806
early_seir_infected_only,6,gic_vol_025,neural_ode_h2,0.0396177285740938
early_seir_infected_only,6,gic_vol_025,seir,0.581890481883375
early_seir_infected_only,6,gic_vol_025,sir,0.17188115384506356
early_seir_infected_only,6,gic_vol_025,tv_sir,0.06920739803869541
early_seir_infected_only,6,gic_vol_025,ude_sir_h2,0.13740323765877224
early_seir_infected_only,6,gic_vol_050,neural_ode_h2,0.03669387634118866
early_seir_infected_only,6,gic_vol_050,seir,0.6347954913164032
early_seir_infected_only,6,gic_vol_050,sir,0.18058475440373195
early_seir_infected_only,6,gic_vol_050,tv_sir,0.029986716593414356
early_seir_infected_only,6,gic_vol_050,ude_sir_h2,0.11793916134526174
early_seir_infected_only,6,gic_vol_100,neural_ode_h2,0.029178108030483832
early_seir_infected_only,6,gic_vol_100,seir,0.7002844566279046
early_seir_infected_only,6,gic_vol_100,sir,0.1847745788024482
early_seir_infected_only,6,gic_vol_100,tv_sir,0.005218397957693613
early_seir_infected_only,6,gic_vol_100,ude_sir_h2,0.0805444585814697
early_seir_infected_only,6,ogic_e,neural_ode_h2,9.109587411579841e-07
early_seir_infected_only,6,ogic_e,seir,0.7196509187627096
early_seir_infected_only,6,ogic_e,sir,0.15514211125615882
early_seir_infected_only,6,ogic_e,tv_sir,0.039803285422604376
early_seir_infected_only,6,ogic_e,ude_sir_h2,0.08540277359978603
early_seir_infected_only,7,aic,neural_ode_h2,9.651660077117496e-07
early_seir_infected_only,7,aic,seir,0.2652032924713081
early_seir_infected_only,7,aic,sir,0.6426096762681265
early_seir_infected_only,7,aic,tv_sir,0.09210670408103278
early_seir_infected_only,7,aic,ude_sir_h2,7.93620135248209e-05
early_seir_infected_only,7,aicc,neural_ode_h2,1.1716582268890118e-97
early_seir_infected_only,7,aicc,seir,0.18850573067646526
early_seir_infected_only,7,aicc,sir,0.7826070965372527
early_seir_infected_only,7,aicc,tv_sir,0.028887172786282007
early_seir_infected_only,7,aicc,ude_sir_h2,7.143892373932374e-19
early_seir_infected_only,7,bic,neural_ode_h2,1.0819636206691718e-08
early_seir_infected_only,7,bic,seir,0.20826205799223754
early_seir_infected_only,7,bic,sir,0.7425813101445143
early_seir_infected_only,7,bic,tv_sir,0.04915378626043536
early_seir_infected_only,7,bic,ude_sir_h2,2.83478317661031e-06
early_seir_infected_only,7,blocked_validation,neural_ode_h2,0.3242919390909365
early_seir_infected_only,7,blocked_validation,seir,0.004839532029681432
early_seir_infected_only,7,blocked_validation,sir,0.30148909431210924
early_seir_infected_only,7,blocked_validation,tv_sir,1.3122669138636046e-14
early_seir_infected_only,7,blocked_validation,ude_sir_h2,0.36937943456725963
early_seir_infected_only,7,waic_laplace,neural_ode_h2,9.858927318259045e-305
early_seir_infected_only,7,waic_laplace,seir,7.598885190147825e-05
early_seir_infected_only,7,waic_laplace,sir,0.9999240111480938
early_seir_infected_only,7,waic_laplace,tv_sir,4.700044419846326e-15
early_seir_infected_only,7,waic_laplace,ude_sir_h2,9.858927318259045e-305
early_seir_infected_only,7,ogic_p,neural_ode_h2,0.03151477809051295
early_seir_infected_only,7,ogic_p,seir,0.2831279968855826
early_seir_infected_only,7,ogic_p,sir,0.30179938585330135
early_seir_infected_only,7,ogic_p,tv_sir,0.08159158069118419
early_seir_infected_only,7,ogic_p,ude_sir_h2,0.3019662584794188
early_seir_infected_only,7,gic_eff,neural_ode_h2,0.024168035396296344
